Date,Open,High,Low,Close,Adj Close,Volume
2001-07-27,15.000000,15.250000,15.000000,15.100000,4.218663,137600
2001-07-30,15.090000,15.200000,15.000000,15.090000,4.215875,42200
2001-07-31,15.050000,15.080000,15.000000,15.000000,4.190726,16200
2001-08-01,15.050000,15.100000,15.010000,15.020000,4.196316,16600
2001-08-02,15.020000,15.150000,15.010000,15.130000,4.227048,14400
2001-08-03,15.050000,15.050000,15.020000,15.020000,4.196316,5000
2001-08-06,15.010000,15.180000,15.000000,15.000000,4.190726,50400
2001-08-07,15.060000,15.150000,15.010000,15.100000,4.218663,10000
2001-08-08,15.150000,15.150000,15.040000,15.120000,4.224255,13500
2001-08-09,15.160000,15.180000,15.110000,15.110000,4.221457,5500
2001-08-10,15.100000,15.500000,15.100000,15.150000,4.232633,31600
2001-08-13,15.200000,15.230000,15.200000,15.230000,4.254986,7700
2001-08-14,15.230000,15.340000,15.230000,15.340000,4.285716,18000
2001-08-15,15.400000,15.400000,15.110000,15.200000,4.246603,13900
2001-08-16,15.250000,15.500000,15.250000,15.400000,4.302479,19700
2001-08-17,15.450000,15.500000,15.250000,15.290000,4.271746,33000
2001-08-20,15.530000,15.530000,15.270000,15.300000,4.274541,20200
2001-08-21,15.270000,15.390000,15.260000,15.390000,4.299684,23900
2001-08-22,15.350000,15.380000,15.260000,15.380000,4.296892,16000
2001-08-23,15.280000,15.420000,15.260000,15.420000,4.308067,18700
2001-08-24,15.320000,15.430000,15.290000,15.400000,4.302479,25100
2001-08-27,15.310000,15.350000,15.200000,15.310000,4.277338,30100
2001-08-28,15.230000,15.350000,15.200000,15.260000,4.263366,13700
2001-08-29,15.360000,15.360000,15.250000,15.300000,4.274541,21800
2001-08-30,15.250000,15.390000,15.230000,15.300000,4.274541,36300
2001-08-31,15.300000,15.330000,15.230000,15.230000,4.254986,13400
2001-09-04,15.300000,15.350000,15.300000,15.310000,4.277338,4500
2001-09-05,15.310000,15.360000,15.250000,15.310000,4.277338,57900
2001-09-06,15.310000,15.310000,15.250000,15.250000,4.260572,80300
2001-09-07,15.220000,15.330000,15.220000,15.300000,4.274541,48200
2001-09-10,15.340000,15.340000,15.250000,15.300000,4.274541,12600
2001-09-17,15.260000,15.280000,15.080000,15.080000,4.213078,30100
2001-09-18,15.150000,15.150000,15.000000,15.000000,4.190726,23400
2001-09-19,15.000000,15.000000,14.600000,14.670000,4.098534,20300
2001-09-20,14.680000,15.000000,14.650000,15.000000,4.190726,23600
2001-09-21,14.900000,15.000000,14.900000,15.000000,4.190726,33800
2001-09-24,15.030000,15.030000,14.990000,14.990000,4.187932,34300
2001-09-25,14.950000,15.220000,14.910000,14.910000,4.165579,25900
2001-09-26,14.940000,14.940000,14.910000,14.910000,4.165579,4800
2001-09-27,14.910000,15.000000,14.880000,15.000000,4.211342,8600
2001-09-28,15.050000,15.140000,14.980000,15.050000,4.225384,30200
2001-10-01,15.140000,15.140000,14.980000,15.000000,4.211342,18800
2001-10-02,15.000000,15.010000,14.980000,14.980000,4.205730,9700
2001-10-03,14.980000,15.010000,14.900000,15.000000,4.211342,16400
2001-10-04,15.030000,15.090000,14.850000,15.090000,4.236614,24700
2001-10-05,15.140000,15.140000,15.000000,15.060000,4.228196,15200
2001-10-08,15.060000,15.060000,14.990000,15.020000,4.216959,11700
2001-10-09,15.000000,15.000000,14.930000,14.930000,4.191693,5700
2001-10-10,14.930000,14.930000,14.930000,14.930000,4.191693,10800
2001-10-11,14.840000,14.950000,14.840000,14.950000,4.215662,6900
2001-10-12,14.960000,15.000000,14.960000,15.000000,4.229757,5300
2001-10-15,15.030000,15.040000,15.030000,15.040000,4.241043,2300
2001-10-16,15.140000,15.140000,15.000000,15.000000,4.229757,11800
2001-10-17,15.050000,15.060000,15.000000,15.050000,4.243861,16500
2001-10-18,15.050000,15.110000,15.050000,15.050000,4.243861,5300
2001-10-19,15.030000,15.100000,15.000000,15.000000,4.229757,10100
2001-10-22,14.970000,15.000000,14.910000,15.000000,4.229757,15600
2001-10-23,15.000000,15.000000,14.900000,15.000000,4.229757,28200
2001-10-24,15.000000,15.000000,15.000000,15.000000,4.229757,0
2001-10-25,14.920000,15.000000,14.920000,15.000000,4.229757,9000
2001-10-26,15.000000,15.000000,14.670000,14.750000,4.159264,24300
2001-10-29,14.850000,14.920000,14.750000,14.880000,4.195921,25400
2001-10-30,14.850000,14.900000,14.700000,14.700000,4.145164,31600
2001-10-31,14.700000,14.810000,14.700000,14.750000,4.159264,15700
2001-11-01,14.710000,14.810000,14.710000,14.810000,4.176182,28400
2001-11-02,14.870000,14.900000,14.850000,14.900000,4.201561,11000
2001-11-05,14.810000,14.900000,14.750000,14.900000,4.201561,8500
2001-11-06,14.900000,14.940000,14.890000,14.940000,4.212839,10300
2001-11-07,14.870000,15.040000,14.810000,14.870000,4.193101,34800
2001-11-08,14.970000,15.020000,14.890000,14.930000,4.210022,31300
2001-11-09,14.950000,14.960000,14.850000,14.960000,4.218480,9200
2001-11-12,14.960000,14.980000,14.870000,14.950000,4.215662,9100
2001-11-13,14.860000,14.950000,14.860000,14.950000,4.236348,13600
2001-11-14,14.910000,14.910000,14.900000,14.900000,4.222176,10200
2001-11-15,14.900000,14.920000,14.750000,14.750000,4.179674,23500
2001-11-16,14.700000,14.700000,14.550000,14.600000,4.137168,51700
2001-11-19,14.600000,14.600000,14.420000,14.450000,4.094663,28500
2001-11-20,14.550000,14.550000,14.200000,14.380000,4.074830,42400
2001-11-21,14.380000,14.400000,14.320000,14.400000,4.080491,21400
2001-11-23,14.420000,14.420000,14.420000,14.420000,4.086162,1000
2001-11-26,14.370000,14.490000,14.270000,14.380000,4.074830,30400
2001-11-27,14.380000,14.620000,14.380000,14.600000,4.137168,71800
2001-11-28,14.620000,14.700000,14.600000,14.700000,4.165502,5300
2001-11-29,14.650000,14.790000,14.640000,14.770000,4.185340,9000
2001-11-30,14.720000,14.850000,14.700000,14.850000,4.208007,11100
2001-12-03,14.810000,14.960000,14.810000,14.940000,4.233512,16900
2001-12-04,14.940000,14.940000,14.840000,14.840000,4.205176,6700
2001-12-05,14.810000,14.880000,14.780000,14.880000,4.216510,7300
2001-12-06,14.880000,14.900000,14.710000,14.710000,4.168340,9900
2001-12-07,14.800000,14.900000,14.800000,14.890000,4.219347,7600
2001-12-10,14.850000,14.900000,14.800000,14.800000,4.193838,8400
2001-12-11,14.890000,14.900000,14.760000,14.760000,4.182508,5100
2001-12-12,14.800000,14.800000,14.650000,14.660000,4.174816,7300
2001-12-13,14.630000,14.630000,14.500000,14.500000,4.129257,12300
2001-12-14,14.520000,14.570000,14.120000,14.250000,4.058062,39000
2001-12-17,14.220000,14.410000,14.170000,14.350000,4.086540,36000
2001-12-18,14.380000,14.380000,14.250000,14.250000,4.058062,13500
2001-12-19,14.300000,14.350000,13.960000,13.960000,3.975472,55700
2001-12-20,14.050000,14.050000,13.800000,13.910000,3.961238,30200
2001-12-21,13.810000,13.810000,13.380000,13.500000,3.844477,66700
2001-12-24,13.570000,13.610000,13.460000,13.500000,3.844477,20800
2001-12-26,13.500000,13.500000,13.340000,13.440000,3.827390,41100
2001-12-27,13.450000,13.500000,13.250000,13.400000,3.815997,54400
2001-12-28,13.350000,13.610000,13.270000,13.410000,3.818845,72600
2001-12-31,13.350000,13.550000,13.350000,13.440000,3.827390,20900
