Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,138.906250,140.000000,128.125000,134.375000,79.059761,11980
2000-01-04,131.562500,136.250000,126.250000,130.000000,76.485710,28940
2000-01-05,130.312500,133.750000,124.375000,125.312500,73.727806,25320
2000-01-06,124.687500,127.187500,122.812500,124.687500,73.360107,37620
2000-01-07,123.750000,125.000000,123.125000,124.687500,73.360107,22920
2000-01-10,124.375000,125.625000,119.062500,119.062500,70.050598,34260
2000-01-11,119.375000,123.125000,118.750000,121.562500,71.521523,37500
2000-01-12,122.187500,122.187500,120.000000,120.625000,70.969948,20200
2000-01-13,120.625000,122.812500,120.625000,121.562500,71.521523,12080
2000-01-14,122.187500,122.500000,116.250000,117.500000,69.131302,44340
2000-01-18,118.750000,120.625000,115.937500,120.625000,70.969948,40100
2000-01-19,118.750000,123.750000,118.750000,121.875000,71.705376,23200
2000-01-20,119.375000,124.375000,117.812500,118.750000,69.866753,33520
2000-01-21,117.812500,120.000000,116.562500,116.875000,68.763603,16460
2000-01-24,118.750000,119.375000,115.000000,115.000000,67.660446,27200
2000-01-25,115.937500,115.937500,110.312500,114.375000,67.292717,31040
2000-01-26,111.875000,120.312500,110.625000,120.000000,70.602196,34800
2000-01-27,120.312500,121.875000,116.250000,121.875000,71.705376,33560
2000-01-28,120.312500,122.812500,120.000000,120.937500,71.153786,24060
2000-01-31,120.000000,125.000000,120.000000,125.000000,73.543991,28700
2000-02-01,124.375000,130.000000,124.375000,127.187500,74.831001,26900
2000-02-02,127.031250,129.062500,123.750000,128.750000,75.750252,49920
2000-02-03,125.000000,130.000000,123.125000,129.687500,76.301826,29900
2000-02-04,129.375000,130.000000,121.875000,128.750000,75.750252,16520
2000-02-07,125.625000,129.687500,125.625000,129.687500,76.301826,15280
2000-02-08,126.875000,127.500000,123.750000,125.000000,73.543991,23040
2000-02-09,126.875000,127.187500,121.562500,121.562500,71.521523,10800
2000-02-10,123.125000,125.312500,115.000000,118.750000,69.866753,11720
2000-02-11,118.750000,121.562500,115.312500,115.312500,67.844315,15080
2000-02-14,117.500000,118.750000,114.687500,115.000000,67.660446,27240
2000-02-15,109.375000,117.500000,108.750000,115.312500,67.844315,34840
2000-02-16,116.875000,120.000000,109.687500,111.250000,65.454132,33320
2000-02-17,111.875000,115.000000,111.875000,113.125000,66.557281,11820
2000-02-18,113.750000,115.937500,111.875000,112.500000,66.189545,13620
2000-02-22,112.500000,112.812500,107.187500,107.812500,63.431648,31660
2000-02-23,109.375000,109.375000,103.125000,103.750000,61.041481,55540
2000-02-24,104.687500,104.687500,99.062500,101.875000,59.938320,57420
2000-02-25,102.500000,106.250000,102.500000,105.000000,61.776920,10680
2000-02-28,103.750000,106.250000,101.875000,103.750000,61.041481,9220
2000-02-29,105.000000,112.500000,101.250000,111.562500,65.637993,28580
2000-03-01,110.000000,115.312500,109.375000,113.125000,66.557281,16960
2000-03-02,113.125000,113.125000,107.812500,110.625000,65.086411,17240
2000-03-03,109.218750,110.000000,103.437500,103.750000,61.041481,24920
2000-03-06,105.000000,105.000000,100.000000,101.250000,59.570614,17980
2000-03-07,100.937500,105.000000,100.000000,101.875000,59.938320,14400
2000-03-08,101.875000,102.187500,97.500000,97.500000,57.818329,28880
2000-03-09,97.187500,98.750000,95.625000,98.125000,58.188995,24460
2000-03-10,95.625000,98.750000,94.687500,96.171875,57.030739,33200
2000-03-13,95.000000,96.875000,92.500000,94.453125,56.011494,14680
2000-03-14,96.250000,96.875000,92.500000,94.375000,55.965172,23040
2000-03-15,95.625000,97.500000,91.875000,93.125000,55.223911,60400
2000-03-16,92.187500,100.000000,90.625000,97.500000,57.818329,34500
2000-03-17,99.062500,103.750000,97.500000,99.375000,58.930202,22440
2000-03-20,102.187500,105.000000,99.375000,100.000000,59.300842,7360
2000-03-21,102.500000,102.500000,100.000000,101.250000,60.042110,15040
2000-03-22,102.500000,105.000000,101.562500,105.000000,62.265881,6560
2000-03-23,104.375000,110.312500,104.375000,110.000000,65.230919,27680
2000-03-24,109.375000,111.875000,109.375000,111.875000,66.342827,19640
2000-03-27,110.625000,110.625000,109.062500,109.375000,64.860298,10460
2000-03-28,111.875000,111.875000,109.375000,109.687500,65.045624,14560
2000-03-29,110.000000,111.250000,108.750000,110.000000,65.230919,13300
2000-03-30,107.812500,112.187500,107.812500,111.875000,66.342827,13920
2000-03-31,112.500000,113.125000,110.000000,110.937500,65.786873,59020
2000-04-03,112.500000,115.625000,111.875000,114.375000,67.825333,36880
2000-04-04,118.125000,121.250000,112.812500,113.437500,67.269363,28800
2000-04-05,115.625000,117.500000,115.000000,116.250000,68.937210,12940
2000-04-06,115.000000,116.875000,115.000000,115.000000,68.195969,8220
2000-04-07,115.000000,117.812500,115.000000,116.875000,69.307854,12980
2000-04-10,118.750000,120.000000,116.250000,117.812500,69.863792,22720
2000-04-11,117.500000,117.500000,112.500000,115.625000,68.566612,20280
2000-04-12,116.875000,116.875000,111.875000,114.375000,67.825333,24780
2000-04-13,114.375000,116.875000,111.562500,112.500000,66.713440,12640
2000-04-14,112.500000,112.500000,106.875000,108.671875,64.443329,22280
2000-04-17,107.500000,108.750000,105.000000,106.875000,63.377773,9980
2000-04-18,105.000000,110.000000,103.750000,109.687500,65.045624,23040
2000-04-19,105.625000,109.062500,104.375000,105.000000,62.265881,18760
2000-04-20,105.000000,110.000000,104.375000,107.500000,63.748409,6460
2000-04-24,104.375000,110.000000,102.812500,105.625000,62.636513,9640
2000-04-25,106.250000,109.296875,102.500000,102.500000,60.783352,28700
2000-04-26,101.875000,105.000000,101.875000,103.750000,61.524616,12760
2000-04-27,102.812500,103.750000,98.750000,100.000000,59.300842,13100
2000-04-28,100.000000,102.500000,98.750000,100.625000,59.671459,18220
2000-05-01,101.250000,104.921875,100.625000,101.640625,60.273743,10240
2000-05-02,101.875000,101.875000,99.375000,101.250000,60.042110,16140
2000-05-03,101.562500,101.718750,98.125000,100.312500,59.486156,20360
2000-05-04,100.000000,102.500000,98.125000,99.375000,58.930202,6740
2000-05-05,100.000000,100.937500,97.500000,99.062500,58.744900,6460
2000-05-08,100.000000,102.500000,98.750000,100.625000,59.671459,15740
2000-05-09,100.937500,102.500000,99.375000,102.500000,60.783352,18520
2000-05-10,102.187500,103.125000,99.375000,100.937500,59.856800,5920
2000-05-11,102.656250,105.000000,100.000000,102.187500,60.598045,11040
2000-05-12,101.250000,103.125000,100.000000,101.875000,60.412727,11320
2000-05-15,100.937500,105.000000,100.937500,105.000000,62.265881,7980
2000-05-16,104.375000,105.625000,103.750000,104.062500,61.709934,12100
2000-05-17,102.500000,103.125000,100.000000,103.125000,61.153980,5900
2000-05-18,103.125000,106.250000,102.187500,106.250000,63.007149,11900
2000-05-19,100.000000,104.687500,100.000000,103.125000,61.153980,9460
2000-05-22,102.500000,104.687500,101.875000,104.062500,61.709934,11020
