Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.166667,4.166667,4.000000,4.000000,2.453936,5700
2000-01-04,3.958333,3.958333,3.833333,3.833333,2.351689,21900
2000-01-05,3.770833,3.770833,3.770833,3.770833,2.313345,2700
2000-01-06,3.916667,4.000000,3.833333,3.916667,2.402812,3300
2000-01-07,3.833333,3.833333,3.750000,3.750000,2.300565,27300
2000-01-10,3.833333,3.833333,3.791667,3.791667,2.326129,3600
2000-01-11,3.708333,3.750000,3.583333,3.750000,2.300565,32400
2000-01-12,3.708333,3.750000,3.666667,3.708333,2.275003,23100
2000-01-13,3.708333,3.708333,3.708333,3.708333,2.275003,3300
2000-01-14,3.708333,3.833333,3.708333,3.750000,2.300565,33900
2000-01-18,3.791667,3.833333,3.708333,3.791667,2.326129,45900
2000-01-19,3.791667,3.791667,3.791667,3.791667,2.326129,0
2000-01-20,3.750000,3.791667,3.750000,3.791667,2.326129,4200
2000-01-21,3.796875,3.833333,3.791667,3.791667,2.326129,156600
2000-01-24,3.833333,3.833333,3.812500,3.812500,2.338908,15300
2000-01-25,3.916667,4.166667,3.854167,3.875000,2.377251,45900
2000-01-26,3.833333,3.833333,3.791667,3.791667,2.326129,3300
2000-01-27,3.791667,3.958333,3.791667,3.833333,2.351689,118200
2000-01-28,3.791667,3.791667,3.791667,3.791667,2.326129,5100
2000-01-31,3.791667,3.791667,3.791667,3.791667,2.326129,0
2000-02-01,3.833333,3.875000,3.833333,3.875000,2.377251,15000
2000-02-02,3.791667,3.958333,3.791667,3.791667,2.326129,1500
2000-02-03,3.791667,3.875000,3.791667,3.791667,2.326129,40200
2000-02-04,3.791667,3.833333,3.770833,3.791667,2.326129,28800
2000-02-07,3.802083,3.802083,3.802083,3.802083,2.332518,10500
2000-02-08,3.770833,3.770833,3.770833,3.770833,2.313345,10500
2000-02-09,3.802083,3.802083,3.750000,3.750000,2.300565,32700
2000-02-10,3.750000,3.833333,3.750000,3.791667,2.326129,142500
2000-02-11,3.791667,3.791667,3.791667,3.791667,2.326129,0
2000-02-14,3.750000,3.791667,3.666667,3.666667,2.249444,45600
2000-02-15,3.770833,3.791667,3.770833,3.770833,2.313345,2100
2000-02-16,3.708333,3.770833,3.708333,3.770833,2.313345,3300
2000-02-17,3.770833,3.770833,3.770833,3.770833,2.313345,0
2000-02-18,3.833333,3.833333,3.708333,3.708333,2.275003,4500
2000-02-22,3.708333,3.708333,3.708333,3.708333,2.275003,2100
2000-02-23,3.770833,3.791667,3.708333,3.729167,2.287785,99300
2000-02-24,3.750000,3.750000,3.750000,3.750000,2.300565,26700
2000-02-25,3.729167,3.729167,3.708333,3.729167,2.287785,14700
2000-02-28,3.750000,3.750000,3.708333,3.708333,2.275003,2100
2000-02-29,3.708333,3.708333,3.708333,3.708333,2.275003,0
2000-03-01,3.729167,3.791667,3.729167,3.791667,2.326129,17700
2000-03-02,3.729167,3.770833,3.729167,3.729167,2.287785,69600
2000-03-03,3.833333,3.833333,3.833333,3.833333,2.351689,1200
2000-03-06,3.833333,3.833333,3.729167,3.729167,2.287785,6600
2000-03-07,3.729167,3.791667,3.729167,3.791667,2.326129,5700
2000-03-08,3.729167,3.750000,3.708333,3.708333,2.275003,15000
2000-03-09,3.833333,3.833333,3.708333,3.708333,2.275003,19200
2000-03-10,3.708333,3.833333,3.583333,3.666667,2.249444,73800
2000-03-13,3.500000,3.500000,3.166667,3.458333,2.147005,8100
2000-03-14,3.375000,3.416667,3.291667,3.416667,2.121139,2400
2000-03-15,3.375000,3.750000,3.375000,3.750000,2.328079,20400
2000-03-16,3.354167,3.354167,3.354167,3.354167,2.082338,3000
2000-03-17,3.354167,3.416667,3.333333,3.416667,2.121139,13500
2000-03-20,3.416667,3.500000,3.416667,3.500000,2.172875,9300
2000-03-21,3.500000,3.500000,3.500000,3.500000,2.172875,0
2000-03-22,3.500000,3.500000,3.500000,3.500000,2.172875,0
2000-03-23,3.500000,3.500000,3.500000,3.500000,2.172875,0
2000-03-24,3.416667,3.458333,3.416667,3.458333,2.147005,3900
2000-03-27,3.416667,3.541667,3.416667,3.541667,2.198742,3300
2000-03-28,3.416667,3.416667,3.416667,3.416667,2.121139,1500
2000-03-29,3.416667,3.416667,3.416667,3.416667,2.121139,0
2000-03-30,3.416667,3.416667,3.416667,3.416667,2.121139,0
2000-03-31,3.416667,3.416667,3.375000,3.375000,2.095272,10800
2000-04-03,3.354167,3.375000,3.333333,3.375000,2.095272,17100
2000-04-04,3.333333,3.333333,3.333333,3.333333,2.069403,39600
2000-04-05,3.322917,3.322917,2.916667,3.104167,1.927133,91500
2000-04-06,3.750000,3.750000,3.458333,3.458333,2.147005,4800
2000-04-07,3.375000,3.416667,3.333333,3.333333,2.069403,12300
2000-04-10,3.416667,3.416667,3.375000,3.375000,2.095272,17400
2000-04-11,3.375000,3.375000,3.375000,3.375000,2.095272,0
2000-04-12,3.375000,3.375000,3.291667,3.291667,2.043537,11400
2000-04-13,3.333333,3.333333,3.208333,3.291667,2.043537,90600
2000-04-14,3.250000,3.666667,3.250000,3.666667,2.276344,1500
2000-04-17,3.250000,3.250000,3.250000,3.250000,2.017668,3600
2000-04-18,3.500000,3.541667,3.500000,3.541667,2.198742,10500
2000-04-19,3.500000,3.500000,3.333333,3.333333,2.069403,31200
2000-04-20,3.354167,3.354167,3.354167,3.354167,2.082338,1500
2000-04-24,3.354167,3.354167,3.312500,3.333333,2.069403,2100
2000-04-25,3.416667,3.416667,3.416667,3.416667,2.121139,6000
2000-04-26,3.416667,3.416667,3.416667,3.416667,2.121139,0
2000-04-27,3.291667,3.291667,3.166667,3.187500,1.978867,2100
2000-04-28,3.208333,3.208333,3.041667,3.062500,1.901265,80400
2000-05-01,3.187500,3.187500,3.187500,3.187500,1.978867,300
2000-05-02,3.187500,3.187500,3.125000,3.125000,1.940066,3900
2000-05-03,3.125000,3.125000,3.083333,3.083333,1.914199,5400
2000-05-04,3.041667,3.041667,3.041667,3.041667,1.888331,1200
2000-05-05,3.041667,3.375000,3.041667,3.375000,2.095272,7800
2000-05-08,3.375000,3.375000,3.375000,3.375000,2.095272,0
2000-05-09,3.375000,3.375000,3.375000,3.375000,2.095272,0
2000-05-10,3.208333,3.208333,3.208333,3.208333,1.991800,1800
2000-05-11,3.208333,3.208333,3.208333,3.208333,1.991800,0
2000-05-12,3.229167,3.229167,3.229167,3.229167,2.004735,6000
2000-05-15,3.229167,3.229167,3.229167,3.229167,2.004735,0
2000-05-16,3.333333,3.583333,3.291667,3.583333,2.224610,41700
2000-05-17,3.375000,3.375000,3.333333,3.333333,2.069403,7200
2000-05-18,3.291667,3.333333,3.291667,3.333333,2.069403,96000
2000-05-19,3.333333,3.333333,3.333333,3.333333,2.069403,0
2000-05-22,3.270833,3.270833,3.270833,3.270833,2.030602,300
2000-05-23,3.270833,3.270833,3.270833,3.270833,2.030602,1200
2000-05-24,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-05-25,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-05-26,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-05-30,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-05-31,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-06-01,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-06-02,3.312500,3.312500,3.270833,3.270833,2.030602,3000
2000-06-05,3.270833,3.270833,3.270833,3.270833,2.030602,0
2000-06-06,3.270833,3.270833,3.250000,3.250000,2.017668,15300
2000-06-07,3.291667,3.291667,3.255208,3.255208,2.020902,3600
2000-06-08,3.255208,3.255208,3.255208,3.255208,2.020902,0
2000-06-09,3.270833,3.270833,3.270833,3.270833,2.030602,1200
2000-06-12,3.250000,3.250000,3.187500,3.250000,2.017668,11100
2000-06-13,3.125000,3.125000,3.125000,3.125000,1.966282,1500
2000-06-14,3.125000,3.125000,3.125000,3.125000,1.966282,6600
2000-06-15,3.125000,3.125000,3.041667,3.041667,1.913848,19200
2000-06-16,3.333333,3.333333,3.166667,3.166667,1.992500,5700
2000-06-19,3.020833,3.020833,2.937500,2.937500,1.848307,6000
2000-06-20,2.979167,3.145833,2.979167,3.145833,1.979391,1800
2000-06-21,3.145833,3.145833,3.145833,3.145833,1.979391,0
2000-06-22,3.145833,3.145833,3.145833,3.145833,1.979391,0
2000-06-23,3.145833,3.145833,3.145833,3.145833,1.979391,0
2000-06-26,3.166667,3.166667,3.166667,3.166667,1.992500,11700
2000-06-27,3.000000,3.000000,3.000000,3.000000,1.887632,1500
2000-06-28,3.166667,3.250000,3.166667,3.250000,2.044934,5400
2000-06-29,3.083333,3.083333,3.083333,3.083333,1.940065,1500
2000-06-30,3.083333,3.083333,3.083333,3.083333,1.940065,0
2000-07-03,3.083333,3.083333,3.083333,3.083333,1.940065,0
2000-07-05,3.312500,3.312500,3.312500,3.312500,2.084260,300
2000-07-06,3.312500,3.312500,3.312500,3.312500,2.084260,0
2000-07-07,3.083333,3.083333,3.000000,3.000000,1.887632,11400
2000-07-10,3.000000,3.000000,3.000000,3.000000,1.887632,0
2000-07-11,3.000000,3.000000,3.000000,3.000000,1.887632,0
2000-07-12,3.020833,3.166667,3.000000,3.166667,1.992500,33900
2000-07-13,3.166667,3.166667,3.166667,3.166667,1.992500,0
2000-07-14,3.166667,3.166667,3.166667,3.166667,1.992500,0
