Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.273106,6.273106,6.273106,6.273106,3.588291,486
2000-01-04,6.273106,6.273106,6.273106,6.273106,3.588291,972
2000-01-05,6.170269,6.170269,6.170269,6.170269,3.529467,972
2000-01-06,6.170269,6.170269,6.170269,6.170269,3.529467,26984
2000-01-07,6.016012,6.067431,6.016012,6.067431,3.470644,5834
2000-01-10,5.861755,5.861755,5.861755,5.861755,3.352993,243
2000-01-11,5.861755,5.964593,5.861755,5.964593,3.411817,2431
2000-01-12,5.964593,5.964593,5.964593,5.964593,3.411817,243
2000-01-13,5.964593,6.067431,5.964593,6.067431,3.506921,2188
2000-01-14,6.067431,6.067431,6.067431,6.067431,3.506921,729
2000-01-18,5.810336,5.913174,5.656080,5.913174,3.417762,11183
2000-01-19,5.656080,5.656080,5.656080,5.656080,3.269161,1702
2000-01-20,5.656080,5.656080,5.656080,5.656080,3.269161,13857
2000-01-21,5.707498,5.707498,5.707498,5.707498,3.298882,2431
2000-01-24,5.656080,5.656080,5.656080,5.656080,3.269161,972
2000-01-25,5.656080,5.656080,5.656080,5.656080,3.269161,0
2000-01-26,5.964593,5.964593,5.758917,5.758917,3.328602,2674
2000-01-27,5.758917,5.964593,5.758917,5.758917,3.328602,4133
2000-01-28,5.913174,5.913174,5.810336,5.810336,3.358322,17017
2000-01-31,5.758917,5.810336,5.656080,5.707498,3.298882,26255
2000-02-01,5.810336,5.810336,5.758917,5.758917,3.328602,13614
2000-02-02,5.758917,5.758917,5.758917,5.758917,3.328602,4862
2000-02-03,5.707498,5.758917,5.707498,5.758917,3.328602,9967
2000-02-04,5.758917,5.758917,5.758917,5.758917,3.328602,243
2000-02-07,5.964593,5.964593,5.810336,5.810336,3.358322,9481
2000-02-08,5.964593,5.964593,5.810336,5.810336,3.358322,11426
2000-02-09,5.810336,5.836046,5.810336,5.836046,3.373181,19934
2000-02-10,5.810336,6.016012,5.810336,5.861755,3.388040,63449
2000-02-11,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-14,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-15,5.836046,5.861755,5.836046,5.861755,3.388040,29658
2000-02-16,6.016012,6.016012,5.836046,5.836046,3.373181,4862
2000-02-17,5.836046,5.861755,5.784627,5.861755,3.388040,3160
2000-02-18,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-22,5.861755,5.861755,5.861755,5.861755,3.388040,10940
2000-02-23,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-24,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-25,5.836046,5.861755,5.836046,5.861755,3.388040,3647
2000-02-28,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-02-29,5.861755,5.887465,5.784627,5.861755,3.388040,38410
2000-03-01,5.861755,5.861755,5.861755,5.861755,3.388040,0
2000-03-02,5.964593,5.964593,5.964593,5.964593,3.447482,243
2000-03-03,5.861755,5.887465,5.861755,5.887465,3.402901,10210
2000-03-06,5.887465,5.887465,5.887465,5.887465,3.402901,0
2000-03-07,5.861755,5.861755,5.861755,5.861755,3.388040,34763
2000-03-08,5.861755,5.861755,5.861755,5.861755,3.388040,7536
2000-03-09,5.887465,5.887465,5.758917,5.758917,3.328602,31846
2000-03-10,5.861755,5.861755,5.784627,5.784627,3.343462,10210
2000-03-13,5.784627,5.784627,5.784627,5.784627,3.343462,486
2000-03-14,5.784627,5.784627,5.784627,5.784627,3.343462,0
2000-03-15,5.861755,5.861755,5.810336,5.810336,3.358322,3403
2000-03-16,5.810336,5.810336,5.810336,5.810336,3.358322,0
2000-03-17,5.861755,5.861755,5.861755,5.861755,3.388040,2188
2000-03-20,5.938883,6.016012,5.938883,6.016012,3.477202,151938
2000-03-21,6.067431,6.118850,6.067431,6.118850,3.536639,1702
2000-03-22,6.170269,6.350235,6.118850,6.350235,3.670379,8995
2000-03-23,6.350235,6.478782,6.273106,6.478782,3.744678,5348
2000-03-24,6.530201,6.581620,6.530201,6.581620,3.804117,1702
2000-03-27,6.530201,6.581620,6.530201,6.581620,3.804117,3160
2000-03-28,6.581620,6.684458,6.530201,6.530201,3.774398,83384
2000-03-29,6.581620,6.581620,6.581620,6.581620,3.804117,2431
2000-03-30,6.581620,6.890133,6.581620,6.890133,3.982434,14343
2000-03-31,6.890133,7.404322,6.890133,7.044390,4.071596,11183
2000-04-03,7.147228,7.147228,7.147228,7.147228,4.131035,1702
2000-04-04,7.147228,7.147228,6.992971,6.992971,4.041873,2431
2000-04-05,6.992971,6.992971,6.992971,6.992971,4.041873,0
2000-04-06,6.890133,6.890133,6.890133,6.890133,3.982434,5591
2000-04-07,6.890133,6.915843,6.890133,6.915843,3.997295,21879
