Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.597796,5.597796,5.267218,5.377410,2.481444,31763
2000-01-04,5.245179,5.377410,5.201102,5.294766,2.443306,37151
2000-01-05,5.289256,5.509642,5.289256,5.509642,2.542462,16448
2000-01-06,5.509642,5.509642,5.377410,5.443526,2.511955,5955
2000-01-07,5.509642,5.641873,5.377410,5.641873,2.637653,14463
2000-01-10,5.641873,5.641873,5.377410,5.421488,2.534620,7941
2000-01-11,5.421488,5.553719,5.245179,5.245179,2.452193,30061
2000-01-12,5.333333,5.465565,5.201102,5.421488,2.534620,52465
2000-01-13,5.377410,5.487603,5.377410,5.487603,2.565530,11060
2000-01-14,5.487603,5.597796,5.465565,5.597796,2.617047,12195
2000-01-18,5.531680,5.531680,5.421488,5.465565,2.555227,23822
2000-01-19,5.509642,5.641873,5.465565,5.641873,2.637653,31479
2000-01-20,5.641873,5.685950,5.641873,5.641873,2.637653,70615
2000-01-21,5.663912,5.730028,5.597796,5.597796,2.617047,30345
2000-01-24,5.597796,5.663912,5.553719,5.553719,2.596440,23822
2000-01-25,5.509642,5.575758,5.465565,5.465565,2.555227,7657
2000-01-26,5.377410,5.377410,5.245179,5.289256,2.472800,9075
2000-01-27,5.377410,5.421488,5.289256,5.289256,2.472800,12762
2000-01-28,5.289256,5.289256,5.245179,5.245179,2.452193,16448
2000-01-31,5.289256,5.289256,5.112948,5.201102,2.431587,20135
2000-02-01,5.112948,5.157025,5.068871,5.068871,2.369767,32613
2000-02-02,5.090909,5.090909,4.760331,4.892562,2.287340,76287
2000-02-03,4.892562,5.289256,4.892562,5.289256,2.472800,41688
2000-02-04,5.245179,5.641873,5.245179,5.553719,2.596440,18434
2000-02-07,5.509642,5.641873,5.421488,5.421488,2.534620,22971
2000-02-08,5.421488,5.443526,5.112948,5.157025,2.410979,13896
2000-02-09,5.201102,5.377410,5.112948,5.112948,2.390373,41972
2000-02-10,5.201102,5.245179,4.936639,4.980716,2.328553,51614
2000-02-11,5.112948,5.157025,4.936639,4.980716,2.328553,11627
2000-02-14,4.980716,5.112948,4.892562,4.892562,2.287340,29210
2000-02-15,5.024793,5.134986,4.980716,5.112948,2.390373,33180
2000-02-16,5.112948,5.112948,5.002755,5.002755,2.338856,2269
2000-02-17,4.892562,4.936639,4.892562,4.892562,2.287340,22688
2000-02-18,4.914601,4.936639,4.716253,4.738292,2.215216,22120
2000-02-22,4.804408,4.936639,4.584022,4.584022,2.143094,75436
2000-02-23,4.539945,4.936639,4.363636,4.936639,2.307947,50763
2000-02-24,4.980716,4.980716,4.760331,4.804408,2.246127,7373
2000-02-25,4.760331,4.848485,4.672176,4.848485,2.266734,23538
2000-02-28,4.716253,4.826446,4.716253,4.826446,2.256431,20419
2000-02-29,4.760331,4.760331,4.584022,4.672176,2.184307,52465
2000-03-01,4.760331,4.760331,4.628099,4.716253,2.204913,14180
2000-03-02,4.628099,4.716253,4.539945,4.584022,2.143094,21270
2000-03-03,4.584022,4.848485,4.584022,4.826446,2.256431,25240
