Date,Open,High,Low,Close,Adj Close,Volume
2016-04-28,8.130000,8.130000,6.240000,6.250000,5.115129,258300
2016-04-29,6.390000,6.450000,6.300000,6.400000,5.237892,24600
2016-05-02,6.450000,6.450000,6.250000,6.370000,5.213340,33300
2016-05-03,6.400000,6.590000,6.250000,6.390000,5.229709,53700
2016-05-04,6.560000,6.570000,6.230000,6.490000,5.311550,72300
2016-05-05,6.580000,7.100000,6.530000,7.000000,5.728945,107600
2016-05-06,7.100000,7.320000,6.901000,7.040000,5.761684,72700
2016-05-09,7.190000,7.250000,7.020000,7.200000,5.892629,89000
2016-05-10,7.250000,7.250000,7.000000,7.100000,5.810786,33600
2016-05-11,7.240000,7.240000,6.850000,7.050000,5.769865,89200
2016-05-12,7.000000,7.120000,7.000000,7.120000,5.827157,44700
2016-05-13,7.100000,7.120000,6.900000,7.100000,5.827156,87300
2016-05-16,7.260000,7.350000,6.940000,7.350000,6.032337,17600
2016-05-17,7.000000,7.270000,6.960000,7.270000,5.966679,21000
2016-05-18,7.220000,7.500000,7.002000,7.500000,6.155447,7000
2016-05-19,7.500000,7.500000,7.110000,7.180000,5.892811,7600
2016-05-20,7.230000,7.500000,7.200000,7.500000,6.155447,6100
2016-05-23,7.410000,7.750000,7.360000,7.440000,6.106202,50800
2016-05-24,7.580000,7.660000,7.250000,7.460000,6.122618,12500
2016-05-25,7.450000,7.450000,7.170000,7.290000,5.983094,20400
2016-05-26,7.070000,7.450000,7.070000,7.450000,6.114409,19600
2016-05-27,7.450000,7.450000,6.990000,7.260000,5.958472,20300
2016-05-31,7.270000,7.350000,6.970000,7.350000,6.032337,4200
2016-06-01,7.020000,7.200000,7.020000,7.080000,5.810740,6500
2016-06-02,7.160000,7.160000,7.070000,7.150000,5.868190,2900
2016-06-03,7.360000,7.400000,7.120000,7.400000,6.073374,6800
2016-06-06,7.040000,7.200000,7.040000,7.150000,5.868190,19700
2016-06-07,7.110000,7.200000,7.090000,7.140000,5.859984,4700
2016-06-08,7.210000,7.450000,7.130000,7.450000,6.114409,24600
2016-06-09,7.450000,7.450000,7.150000,7.150000,5.868190,5700
2016-06-10,7.259000,7.290000,7.160000,7.290000,5.983094,13000
2016-06-13,7.370000,7.740000,7.355000,7.620000,6.253934,55400
2016-06-14,7.600000,7.600000,7.430000,7.500000,6.171646,28700
2016-06-15,7.384000,7.610000,7.384000,7.500000,6.171646,38300
2016-06-16,7.370000,7.530000,7.170000,7.280000,5.990611,46600
2016-06-17,7.540000,7.540000,7.170000,7.230000,5.949465,85000
2016-06-20,7.380000,7.720000,7.350000,7.560000,6.221020,30600
2016-06-21,7.500000,7.620000,7.500000,7.620000,6.270392,25400
2016-06-22,7.500000,7.880000,7.500000,7.880000,6.484344,38900
