Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.937500,9.937500,9.687500,9.750000,2.309082,64600
2000-01-04,9.750000,10.000000,9.750000,10.000000,2.368291,58900
2000-01-05,10.000000,10.250000,10.000000,10.187500,2.412697,89000
2000-01-06,10.062500,10.250000,10.062500,10.187500,2.412697,62200
2000-01-07,10.187500,10.375000,10.187500,10.375000,2.457101,49900
2000-01-10,10.375000,10.625000,10.250000,10.625000,2.516310,67800
2000-01-11,10.500000,10.625000,10.375000,10.375000,2.457101,56300
2000-01-12,10.375000,10.437500,10.187500,10.250000,2.427498,50800
2000-01-13,10.250000,10.437500,10.125000,10.437500,2.488658,65700
2000-01-14,10.437500,10.437500,10.312500,10.437500,2.488658,46700
2000-01-18,10.312500,10.375000,10.250000,10.375000,2.473753,44600
2000-01-19,10.437500,10.437500,10.250000,10.312500,2.458854,59500
2000-01-20,10.312500,10.437500,10.250000,10.437500,2.488658,20800
2000-01-21,10.437500,10.437500,10.312500,10.312500,2.458854,44600
2000-01-24,10.312500,10.375000,10.250000,10.312500,2.458854,93700
2000-01-25,10.312500,10.500000,10.312500,10.500000,2.503560,42300
2000-01-26,10.562500,10.562500,10.375000,10.437500,2.488658,46500
2000-01-27,10.437500,10.500000,10.375000,10.437500,2.488658,52900
2000-01-28,10.437500,10.437500,10.375000,10.375000,2.473753,21900
2000-01-31,10.437500,10.500000,10.375000,10.437500,2.488658,54200
2000-02-01,10.437500,10.500000,10.375000,10.375000,2.473753,41400
2000-02-02,10.437500,10.562500,10.312500,10.562500,2.518462,85200
2000-02-03,10.500000,10.812500,10.500000,10.687500,2.548266,86000
2000-02-04,10.687500,10.812500,10.687500,10.687500,2.548266,37200
2000-02-07,10.750000,10.750000,10.500000,10.500000,2.503560,61900
2000-02-08,10.625000,10.687500,10.500000,10.625000,2.533364,38500
2000-02-09,10.562500,10.750000,10.562500,10.750000,2.563168,27500
2000-02-10,10.750000,10.750000,10.625000,10.625000,2.533364,40600
2000-02-11,10.562500,10.625000,10.562500,10.625000,2.549925,27800
2000-02-14,10.625000,10.625000,10.375000,10.437500,2.504924,44200
2000-02-15,10.375000,10.437500,10.125000,10.250000,2.459925,71700
2000-02-16,10.312500,10.375000,10.187500,10.375000,2.489924,83400
2000-02-17,10.312500,10.375000,10.250000,10.250000,2.459925,27300
2000-02-18,10.250000,10.312500,10.250000,10.250000,2.459925,40500
2000-02-22,10.312500,10.375000,10.187500,10.187500,2.444927,48100
2000-02-23,10.312500,10.562500,10.250000,10.500000,2.519925,66800
2000-02-24,10.625000,10.625000,10.437500,10.500000,2.519925,56900
2000-02-25,10.375000,10.500000,10.375000,10.500000,2.519925,32200
2000-02-28,10.562500,10.562500,10.500000,10.500000,2.519925,37800
2000-02-29,10.562500,10.562500,10.375000,10.500000,2.519925,30300
2000-03-01,10.500000,10.562500,10.437500,10.500000,2.519925,33800
2000-03-02,10.500000,10.562500,10.437500,10.500000,2.519925,36200
2000-03-03,10.562500,10.562500,10.250000,10.250000,2.459925,39100
2000-03-06,10.250000,10.375000,10.187500,10.187500,2.444927,69800
2000-03-07,10.187500,10.250000,10.125000,10.250000,2.459925,41800
2000-03-08,10.187500,10.250000,10.125000,10.187500,2.444927,74800
2000-03-09,10.125000,10.250000,10.062500,10.250000,2.459925,47600
2000-03-10,10.187500,10.375000,10.187500,10.250000,2.459925,25100
2000-03-13,10.250000,10.375000,10.187500,10.375000,2.506553,43200
2000-03-14,10.375000,10.375000,10.250000,10.250000,2.476353,32400
2000-03-15,10.312500,10.375000,10.250000,10.312500,2.491454,35300
2000-03-16,10.250000,10.312500,10.250000,10.312500,2.491454,35600
2000-03-17,10.250000,10.312500,10.250000,10.250000,2.476353,20800
2000-03-20,10.312500,10.312500,10.250000,10.312500,2.491454,28300
2000-03-21,10.250000,10.500000,10.250000,10.375000,2.506553,27100
2000-03-22,10.375000,10.437500,10.375000,10.375000,2.506553,18700
