Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.687500,5.750000,5.687500,5.687500,1.050868,203900
2000-01-04,5.687500,5.750000,5.687500,5.750000,1.062416,111300
2000-01-05,5.750000,5.812500,5.687500,5.718750,1.056641,45700
2000-01-06,5.687500,5.750000,5.687500,5.687500,1.050868,159300
2000-01-07,5.687500,5.812500,5.687500,5.812500,1.073964,214500
2000-01-10,5.750000,5.812500,5.750000,5.750000,1.062416,101800
2000-01-11,5.750000,5.875000,5.750000,5.750000,1.062416,129800
2000-01-12,5.750000,5.750000,5.687500,5.687500,1.058229,99700
2000-01-13,5.750000,5.812500,5.687500,5.687500,1.058229,343500
2000-01-14,5.687500,5.812500,5.687500,5.750000,1.069859,112800
2000-01-18,5.750000,5.750000,5.687500,5.687500,1.058229,141100
2000-01-19,5.687500,5.750000,5.687500,5.687500,1.058229,244300
2000-01-20,5.687500,5.750000,5.687500,5.687500,1.058229,81100
2000-01-21,5.687500,5.812500,5.687500,5.812500,1.081487,128400
2000-01-24,5.812500,5.812500,5.750000,5.750000,1.069859,155500
2000-01-25,5.750000,5.812500,5.750000,5.750000,1.069859,101700
2000-01-26,5.750000,5.812500,5.750000,5.812500,1.081487,100500
2000-01-27,5.750000,5.875000,5.750000,5.750000,1.069859,58500
2000-01-28,5.750000,5.875000,5.750000,5.812500,1.081487,204200
2000-01-31,5.812500,5.937500,5.812500,5.875000,1.093116,138300
2000-02-01,5.937500,6.000000,5.875000,5.937500,1.104745,139800
2000-02-02,5.937500,6.000000,5.937500,6.000000,1.116374,65700
2000-02-03,6.000000,6.062500,5.937500,5.937500,1.104745,151400
2000-02-04,5.937500,6.000000,5.875000,5.937500,1.104745,150100
2000-02-07,5.937500,6.000000,5.937500,5.937500,1.104745,109800
2000-02-08,5.937500,6.000000,5.937500,6.000000,1.116374,133600
2000-02-09,5.937500,6.000000,5.937500,6.000000,1.116374,81300
2000-02-10,5.937500,6.000000,5.937500,6.000000,1.116374,65300
2000-02-11,5.875000,5.937500,5.875000,5.937500,1.112345,57600
2000-02-14,5.937500,6.000000,5.937500,5.937500,1.112345,92500
2000-02-15,5.937500,6.000000,5.875000,5.875000,1.100637,48000
2000-02-16,5.875000,5.937500,5.875000,5.875000,1.100637,73500
2000-02-17,5.937500,5.937500,5.875000,5.875000,1.100637,81300
2000-02-18,5.875000,5.937500,5.875000,5.875000,1.100637,68800
2000-02-22,5.875000,5.937500,5.875000,5.937500,1.112345,125400
2000-02-23,5.875000,6.000000,5.875000,5.937500,1.112345,161800
2000-02-24,5.875000,6.000000,5.875000,5.875000,1.100637,46300
2000-02-25,5.875000,6.000000,5.875000,5.937500,1.112345,71900
2000-02-28,5.937500,6.000000,5.875000,5.937500,1.112345,157900
2000-02-29,5.937500,6.000000,5.937500,5.937500,1.112345,176000
2000-03-01,6.000000,6.000000,5.937500,5.937500,1.112345,37100
2000-03-02,5.937500,6.000000,5.937500,5.937500,1.112345,31900
2000-03-03,5.937500,5.937500,5.937500,5.937500,1.112345,85100
2000-03-06,5.937500,6.000000,5.875000,5.875000,1.100637,93100
2000-03-07,5.875000,5.875000,5.875000,5.875000,1.100637,89900
2000-03-08,5.875000,5.937500,5.875000,5.875000,1.100637,70000
2000-03-09,5.875000,5.937500,5.875000,5.875000,1.100637,65800
2000-03-10,5.875000,5.937500,5.875000,5.875000,1.100637,110600
2000-03-13,5.875000,5.937500,5.812500,5.937500,1.120163,125500
2000-03-14,5.875000,5.937500,5.875000,5.875000,1.108373,61800
2000-03-15,5.875000,5.937500,5.875000,5.875000,1.108373,79300
2000-03-16,5.875000,5.937500,5.875000,5.875000,1.108373,86400
2000-03-17,5.875000,5.937500,5.875000,5.875000,1.108373,124400
2000-03-20,5.875000,5.937500,5.875000,5.875000,1.108373,232300
2000-03-21,5.875000,5.968750,5.875000,5.875000,1.108373,138000
2000-03-22,5.875000,6.000000,5.875000,5.875000,1.108373,77000
2000-03-23,5.937500,6.000000,5.937500,5.937500,1.120163,67100
2000-03-24,5.937500,6.000000,5.937500,5.937500,1.120163,184500
2000-03-27,5.937500,6.000000,5.937500,5.937500,1.120163,107600
2000-03-28,6.000000,6.000000,5.937500,5.937500,1.120163,59500
2000-03-29,5.937500,6.000000,5.937500,5.937500,1.120163,55700
2000-03-30,5.937500,6.000000,5.937500,5.937500,1.120163,47700
2000-03-31,6.000000,6.000000,5.937500,6.000000,1.131954,191500
2000-04-03,6.000000,6.062500,5.937500,5.937500,1.120163,76600
2000-04-04,6.000000,6.062500,5.937500,6.000000,1.131954,112800
2000-04-05,6.000000,6.062500,6.000000,6.000000,1.131954,105300
2000-04-06,6.062500,6.125000,6.000000,6.000000,1.131954,68300
2000-04-07,6.062500,6.062500,6.000000,6.000000,1.131954,99000
2000-04-10,6.000000,6.125000,6.000000,6.125000,1.155537,203500
2000-04-11,6.062500,6.062500,6.062500,6.062500,1.143745,78900
2000-04-12,6.000000,6.062500,6.000000,6.000000,1.139661,120700
2000-04-13,6.000000,6.125000,6.000000,6.062500,1.151533,119100
2000-04-14,6.062500,6.062500,5.937500,5.937500,1.127790,19400
2000-04-17,6.000000,6.062500,6.000000,6.000000,1.139661,93200
2000-04-18,6.062500,6.062500,6.000000,6.062500,1.151533,168300
2000-04-19,6.000000,6.125000,6.000000,6.062500,1.151533,97800
