Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.312500,12.687500,12.125000,12.562500,2.033848,44700
2000-01-04,12.562500,12.750000,12.562500,12.687500,2.054085,31400
2000-01-05,12.750000,12.750000,12.687500,12.687500,2.054085,12900
2000-01-06,12.750000,12.750000,12.562500,12.750000,2.064202,40800
2000-01-07,12.750000,12.750000,12.625000,12.625000,2.043963,15000
2000-01-10,12.625000,12.625000,12.625000,12.625000,2.043963,5300
2000-01-11,12.625000,12.625000,12.500000,12.625000,2.043963,22200
2000-01-12,12.562500,12.625000,12.562500,12.625000,2.043963,9200
2000-01-13,12.625000,12.750000,12.625000,12.687500,2.054085,17100
2000-01-14,12.562500,13.062500,12.562500,13.062500,2.114797,22200
2000-01-18,12.875000,13.000000,12.875000,12.937500,2.094559,30000
2000-01-19,12.937500,13.000000,12.500000,12.500000,2.023728,14000
2000-01-20,12.375000,12.375000,12.000000,12.000000,1.955607,10700
2000-01-21,12.000000,12.000000,11.812500,11.937500,1.945421,7100
2000-01-24,11.937500,12.187500,11.937500,12.125000,1.975980,13500
2000-01-25,12.125000,12.125000,11.875000,12.000000,1.955607,9700
2000-01-26,11.875000,12.125000,11.812500,11.937500,1.945421,8200
2000-01-27,12.000000,12.000000,11.875000,11.875000,1.935234,6100
2000-01-28,12.000000,12.000000,11.750000,11.750000,1.914865,6000
2000-01-31,11.625000,12.000000,11.625000,12.000000,1.955607,10300
2000-02-01,12.062500,12.125000,11.937500,11.937500,1.945421,11000
2000-02-02,11.937500,12.125000,11.937500,12.125000,1.975980,4100
2000-02-03,12.250000,12.937500,12.250000,12.687500,2.067647,17800
2000-02-04,12.562500,13.062500,12.562500,13.000000,2.118574,35600
2000-02-07,12.937500,13.062500,12.812500,13.000000,2.118574,27500
2000-02-08,12.937500,13.062500,12.812500,12.812500,2.088019,26900
2000-02-09,12.812500,12.937500,12.750000,12.812500,2.088019,25500
2000-02-10,12.812500,12.875000,12.687500,12.875000,2.098202,12600
2000-02-11,12.687500,12.812500,12.562500,12.625000,2.057462,12300
2000-02-14,12.500000,12.625000,12.500000,12.562500,2.047277,8900
2000-02-15,12.500000,12.500000,12.437500,12.437500,2.026906,4500
2000-02-16,12.437500,12.437500,12.375000,12.375000,2.016720,12800
2000-02-17,12.375000,12.437500,12.375000,12.375000,2.030172,4700
2000-02-18,12.250000,12.375000,12.250000,12.250000,2.009666,3300
2000-02-22,12.125000,12.500000,12.062500,12.250000,2.009666,11500
2000-02-23,12.437500,12.437500,12.312500,12.312500,2.019918,3000
2000-02-24,12.437500,12.562500,12.375000,12.437500,2.040426,8500
2000-02-25,12.312500,12.437500,12.312500,12.312500,2.019918,13800
2000-02-28,12.312500,12.562500,12.312500,12.562500,2.060933,10800
2000-02-29,12.625000,12.687500,12.437500,12.500000,2.050679,8900
2000-03-01,12.500000,12.625000,12.500000,12.625000,2.071185,10800
2000-03-02,12.562500,12.562500,12.375000,12.375000,2.030172,5200
2000-03-03,12.437500,12.625000,12.437500,12.625000,2.071185,4700
2000-03-06,12.562500,12.562500,12.437500,12.437500,2.040426,20200
2000-03-07,12.312500,12.437500,12.312500,12.437500,2.040426,27300
2000-03-08,12.437500,12.437500,12.375000,12.437500,2.040426,10400
2000-03-09,12.375000,12.437500,12.375000,12.437500,2.040426,21600
2000-03-10,12.375000,12.562500,12.375000,12.562500,2.060933,18700
2000-03-13,12.625000,12.625000,12.437500,12.500000,2.050679,15500
2000-03-14,12.375000,12.500000,12.312500,12.437500,2.040426,13700
2000-03-15,12.437500,12.437500,12.437500,12.437500,2.040426,3200
2000-03-16,12.437500,12.437500,12.250000,12.437500,2.040426,14300
2000-03-17,12.500000,12.562500,12.437500,12.500000,2.050679,6400
2000-03-20,12.375000,12.437500,12.375000,12.437500,2.040426,21000
2000-03-21,12.375000,12.500000,12.375000,12.437500,2.040426,12800
2000-03-22,12.312500,12.437500,12.312500,12.437500,2.053967,14800
2000-03-23,12.375000,12.375000,12.062500,12.062500,1.992039,8500
2000-03-24,12.062500,12.062500,12.062500,12.062500,1.992039,7300
2000-03-27,12.125000,12.125000,12.000000,12.000000,1.981717,4300
2000-03-28,12.062500,12.125000,12.062500,12.062500,1.992039,8900
2000-03-29,12.125000,12.250000,12.125000,12.250000,2.023005,3600
2000-03-30,12.187500,12.250000,12.125000,12.125000,2.002362,8600
2000-03-31,12.187500,12.187500,12.125000,12.187500,2.012681,7500
2000-04-03,12.250000,12.312500,12.187500,12.187500,2.012681,5700
2000-04-04,12.250000,12.250000,12.187500,12.187500,2.012681,5700
2000-04-05,12.187500,12.187500,12.187500,12.187500,2.012681,8300
2000-04-06,12.250000,12.437500,12.250000,12.437500,2.053967,5900
2000-04-07,12.375000,12.500000,12.375000,12.500000,2.064289,4400
2000-04-10,12.437500,12.437500,12.312500,12.312500,2.033324,10000
2000-04-11,12.312500,12.312500,12.062500,12.125000,2.002362,20900
2000-04-12,12.125000,12.187500,12.125000,12.125000,2.002362,12100
2000-04-13,12.062500,12.125000,12.062500,12.125000,2.002362,3200
2000-04-14,12.125000,12.125000,12.125000,12.125000,2.002362,3800
2000-04-17,12.250000,12.250000,12.187500,12.187500,2.012681,5700
2000-04-18,11.937500,12.187500,11.937500,12.187500,2.026315,7800
2000-04-19,12.125000,12.187500,12.125000,12.125000,2.015926,3300
2000-04-20,12.000000,12.000000,11.937500,12.000000,1.995141,14700
2000-04-24,12.125000,12.125000,12.000000,12.000000,1.995141,9100
2000-04-25,12.062500,12.125000,12.062500,12.062500,2.005533,5000
2000-04-26,12.062500,12.187500,12.062500,12.125000,2.015926,7200
2000-04-27,12.000000,12.125000,11.937500,12.062500,2.005533,14700
2000-04-28,12.125000,12.187500,12.062500,12.062500,2.005533,5600
2000-05-01,12.187500,12.187500,12.062500,12.125000,2.015926,8500
2000-05-02,12.062500,12.125000,12.000000,12.062500,2.005533,14900
2000-05-03,12.000000,12.062500,12.000000,12.062500,2.005533,7100
2000-05-04,12.000000,12.125000,12.000000,12.062500,2.005533,16900
2000-05-05,12.062500,12.125000,12.062500,12.062500,2.005533,14600
2000-05-08,12.000000,12.062500,11.937500,11.937500,1.984751,5800
2000-05-09,11.937500,12.000000,11.937500,11.937500,1.984751,4700
2000-05-10,11.937500,12.062500,11.875000,12.062500,2.005533,20600
2000-05-11,12.000000,12.125000,12.000000,12.062500,2.005533,3800
2000-05-12,12.062500,12.125000,11.875000,11.937500,1.984751,20400
2000-05-15,11.875000,12.125000,11.875000,12.062500,2.005533,18100
2000-05-16,12.062500,12.125000,12.062500,12.125000,2.015926,9100
2000-05-17,12.125000,12.125000,12.062500,12.062500,2.005533,1200
2000-05-18,12.000000,12.062500,11.937500,11.937500,1.984751,3600
2000-05-19,11.875000,12.125000,11.875000,12.125000,2.015926,5800
2000-05-22,12.000000,12.125000,12.000000,12.125000,2.029651,8900
2000-05-23,12.125000,12.125000,12.062500,12.062500,2.019188,5200
2000-05-24,12.125000,12.125000,12.125000,12.125000,2.029651,2100
2000-05-25,12.187500,12.187500,12.125000,12.125000,2.029651,3300
2000-05-26,12.125000,12.125000,12.125000,12.125000,2.029651,400
2000-05-30,12.187500,12.250000,12.125000,12.187500,2.040112,10000
2000-05-31,12.062500,12.187500,12.000000,12.062500,2.019188,20400
2000-06-01,12.125000,12.250000,12.125000,12.250000,2.050574,4100
2000-06-02,12.250000,12.312500,12.187500,12.250000,2.050574,8600
2000-06-05,12.250000,12.250000,12.062500,12.125000,2.029651,14800
2000-06-06,12.125000,12.250000,12.125000,12.250000,2.050574,7800
2000-06-07,12.187500,12.250000,12.187500,12.187500,2.040112,28400
2000-06-08,12.187500,12.312500,12.125000,12.187500,2.040112,14200
2000-06-09,12.250000,12.250000,12.187500,12.187500,2.040112,5600
2000-06-12,12.187500,12.250000,12.187500,12.187500,2.040112,3300
2000-06-13,12.187500,12.250000,12.062500,12.125000,2.029651,8100
2000-06-14,12.125000,12.125000,12.062500,12.125000,2.029651,2100
