Date,Open,High,Low,Close,Adj Close,Volume
2023-03-03,18.590000,26.000000,11.350000,11.500000,11.500000,5100
2023-03-06,19.500000,19.500000,13.090000,13.140000,13.140000,6700
2023-03-07,10.311000,12.205000,8.137000,8.160000,8.160000,11100
2023-03-08,4.590000,5.770000,3.350000,3.850000,3.850000,680200
2023-03-09,4.490000,6.580000,4.330000,4.940000,4.940000,10574600
2023-03-10,4.500000,4.700000,3.660000,3.710000,3.710000,946800
2023-03-13,3.380000,4.068000,3.370000,3.952000,3.952000,438700
2023-03-14,3.310000,3.620000,2.300000,2.410000,2.410000,1433900
2023-03-15,2.150000,2.160000,1.850000,2.040000,2.040000,632500
2023-03-16,2.150000,2.270000,1.872000,1.990000,1.990000,631100
2023-03-17,1.930000,1.930000,1.570000,1.700000,1.700000,729900
2023-03-20,1.620000,1.850000,1.620000,1.760000,1.760000,383200
2023-03-21,1.870000,1.870000,1.580000,1.585000,1.585000,488500
2023-03-22,1.550000,1.575000,1.470000,1.490000,1.490000,222200
2023-03-23,1.470000,1.570000,1.440000,1.470000,1.470000,262500
2023-03-24,1.470000,1.540000,1.420000,1.530000,1.530000,92700
2023-03-27,1.550000,1.570000,1.460000,1.500000,1.500000,166900
2023-03-28,1.480000,1.650000,1.474000,1.630000,1.630000,314900
2023-03-29,1.660000,2.880000,1.620000,1.950000,1.950000,24972600
2023-03-30,1.810000,2.650000,1.810000,2.370000,2.370000,10269900
2023-03-31,2.560000,3.300000,2.500000,2.690000,2.690000,10354200
2023-04-03,2.880000,3.150000,2.410000,2.580000,2.580000,2769300
2023-04-04,2.590000,2.780000,2.470000,2.520000,2.520000,452000
2023-04-05,2.490000,2.570000,2.120000,2.170000,2.170000,425600
2023-04-06,2.100000,2.200000,1.930000,2.200000,2.200000,330600
2023-04-10,2.250000,2.590000,2.216000,2.550000,2.550000,351000
2023-04-11,2.580000,2.640000,2.390000,2.455000,2.455000,365800
2023-04-12,2.430000,2.500000,2.340000,2.390000,2.390000,131100
2023-04-13,2.360000,2.450000,2.182000,2.290000,2.290000,252700
2023-04-14,2.270000,2.400000,2.220000,2.240000,2.240000,134200
2023-04-17,2.250000,3.630000,2.010000,3.270000,3.270000,5636800
2023-04-18,3.470000,4.400000,3.461000,3.910000,3.910000,6247300
2023-04-19,3.910000,4.500000,3.500000,3.600000,3.600000,1900100
2023-04-20,3.690000,4.060000,3.512000,3.810000,3.810000,558100
2023-04-21,3.900000,4.080000,3.410000,3.460000,3.460000,578900
2023-04-24,3.430000,3.499000,2.810000,3.020000,3.020000,389200
2023-04-25,3.000000,3.390000,2.870000,3.250000,3.250000,489300
2023-04-26,3.250000,3.500000,3.170000,3.320000,3.320000,201500
2023-04-27,3.260000,3.500000,3.260000,3.276000,3.276000,260700
2023-04-28,3.270000,3.540000,3.265000,3.390000,3.390000,239200
2023-05-01,3.450000,3.527000,3.020000,3.050000,3.050000,304200
2023-05-02,3.150000,3.200000,2.910000,3.100000,3.100000,172800
2023-05-03,3.070000,3.160000,2.950000,3.000000,3.000000,265400
2023-05-04,3.000000,3.680000,2.940000,3.655000,3.655000,557200
2023-05-05,3.640000,3.730000,3.450000,3.500000,3.500000,212100
2023-05-08,3.590000,3.590000,3.400000,3.490000,3.490000,107800
2023-05-09,3.530000,3.740000,3.460000,3.600000,3.600000,164200
2023-05-10,3.800000,3.930000,3.600000,3.730000,3.730000,322600
2023-05-11,3.690000,3.840000,3.480000,3.667000,3.667000,139700
2023-05-12,3.610000,3.805000,3.560000,3.650000,3.650000,218200
2023-05-15,3.610000,3.780000,3.610000,3.650000,3.650000,114800
2023-05-16,3.620000,3.720000,3.580000,3.630000,3.630000,81300
2023-05-17,3.620000,4.260000,3.620000,4.110000,4.110000,927100
2023-05-18,4.250000,4.480000,3.830000,4.110000,4.110000,522600
2023-05-19,4.070000,4.110000,3.900000,4.000000,4.000000,308500
2023-05-22,4.260000,4.490000,4.010000,4.130000,4.130000,746700
2023-05-23,4.290000,4.390000,4.020000,4.110000,4.110000,433300
2023-05-24,4.100000,4.100000,3.660000,3.710000,3.710000,349600
2023-05-25,3.810000,3.840000,3.560000,3.560000,3.560000,235900
2023-05-26,3.560000,3.720000,3.540000,3.570000,3.570000,172100
2023-05-30,3.560000,3.590000,3.250000,3.250000,3.250000,287400
2023-05-31,3.160000,3.250000,3.000000,3.060000,3.060000,202800
2023-06-01,3.030000,3.230000,3.000000,3.120000,3.120000,148100
2023-06-02,3.180000,3.390000,3.120000,3.360000,3.360000,129900
2023-06-05,3.370000,3.380000,3.105000,3.110000,3.110000,125500
2023-06-06,3.060000,3.250000,2.720000,2.760000,2.760000,412300
2023-06-07,2.770000,3.070000,2.770000,3.030000,3.030000,178200
2023-06-08,3.000000,3.170000,2.980000,3.040000,3.040000,142500
2023-06-09,2.980000,3.020000,2.820000,2.980000,2.980000,269400
2023-06-12,2.970000,3.020000,2.890000,2.950000,2.950000,91100
2023-06-13,2.950000,3.070000,2.950000,3.020000,3.020000,86800
2023-06-14,3.100000,3.180000,3.033000,3.090000,3.090000,146900
2023-06-15,3.100000,3.150000,3.010000,3.010000,3.010000,123400
2023-06-16,3.010000,3.160000,3.000000,3.160000,3.160000,78300
2023-06-20,3.120000,3.290000,3.109000,3.260000,3.260000,114800
2023-06-21,3.340000,3.350000,3.170000,3.290000,3.290000,130400
2023-06-22,3.240000,3.450000,3.230000,3.420000,3.420000,126600
2023-06-23,3.500000,3.500000,3.310000,3.360000,3.360000,67600
2023-06-26,3.270000,3.397000,3.246000,3.380000,3.380000,69000
2023-06-27,3.340000,3.480000,3.290000,3.420000,3.420000,68700
2023-06-28,3.420000,3.640000,3.400000,3.600000,3.600000,113500
2023-06-29,3.660000,3.890000,3.590000,3.870000,3.870000,164000
2023-06-30,3.950000,4.098000,3.720000,3.800000,3.800000,200000
2023-07-03,3.760000,3.850000,3.760000,3.790000,3.790000,57500
2023-07-05,3.700000,3.960000,3.620000,3.910000,3.910000,103100
2023-07-06,3.880000,3.900000,3.690000,3.760000,3.760000,118300
2023-07-07,3.610000,3.940000,3.610000,3.720000,3.720000,91400
2023-07-10,3.690000,3.940000,3.670000,3.880000,3.880000,86900
2023-07-11,3.910000,3.969000,3.828000,3.920000,3.920000,117300
2023-07-12,3.930000,4.050000,3.860000,4.020000,4.020000,112600
2023-07-13,4.090000,4.200000,3.940000,3.955000,3.955000,158200
2023-07-14,3.920000,4.100000,3.800000,4.040000,4.040000,179200
2023-07-17,3.990000,4.200000,3.950000,4.180000,4.180000,200300
2023-07-18,4.240000,4.240000,3.960000,4.150000,4.150000,109400
2023-07-19,4.120000,4.170000,3.940000,4.070000,4.070000,111600
2023-07-20,4.030000,4.240000,4.012000,4.200000,4.200000,111000
2023-07-21,4.250000,4.430000,4.190000,4.380000,4.380000,197400
2023-07-24,4.440000,4.950000,4.321000,4.920000,4.920000,352000
2023-07-25,4.950000,5.180000,4.410000,4.680000,4.680000,364300
2023-07-26,4.650000,5.260000,4.550000,4.930000,4.930000,252900
