Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,6.884449,6.884449,6.584473,6.599472,4.086176,916323
2000-01-04,6.569474,6.599472,6.389489,6.404488,3.965449,572546
2000-01-05,6.344492,6.584473,6.344492,6.524478,4.039743,647969
2000-01-06,6.494480,6.644468,6.479482,6.614471,4.095465,433785
2000-01-07,6.599472,6.614471,6.554476,6.584473,4.076890,732142
2000-01-10,6.599472,6.599472,6.404488,6.524478,4.039743,764228
2000-01-11,6.509479,6.539477,6.419486,6.464483,4.002595,581713
2000-01-12,6.419486,6.449484,6.314495,6.374490,3.973428,602548
2000-01-13,6.359491,6.449484,6.329494,6.329494,3.945379,665887
2000-01-14,6.329494,6.359491,6.149508,6.179506,3.851888,1137591
2000-01-18,6.119510,6.179506,5.954524,6.149508,3.833186,908823
2000-01-19,6.134509,6.194504,6.029518,6.089513,3.795793,853402
2000-01-20,6.209503,6.284497,5.999520,6.029518,3.758394,1155092
2000-01-21,6.014519,6.029518,5.759539,5.819534,3.627504,999247
2000-01-24,5.819534,5.849532,5.729542,5.834533,3.636856,1647632
2000-01-25,5.894528,5.894528,5.624550,5.714543,3.562061,1350525
2000-01-26,5.759539,5.804536,5.684545,5.759539,3.590108,3614873
2000-01-27,5.759539,5.819534,5.714543,5.714543,3.562061,1414280
2000-01-28,5.729542,5.774538,5.639549,5.639549,3.515312,889655
2000-01-31,5.699544,5.699544,5.579554,5.609551,3.496615,664220
2000-02-01,5.609551,5.669546,5.609551,5.624550,3.505964,706307
2000-02-02,5.639549,5.789537,5.594552,5.609551,3.496615,1398862
2000-02-03,5.639549,5.684545,5.459563,5.459563,3.403124,1465951
2000-02-04,5.489561,5.489561,5.384569,5.444564,3.393773,800897
2000-02-07,5.429566,5.564555,5.399568,5.549556,3.459219,1269685
2000-02-08,5.564555,5.654548,5.369570,5.399568,3.365726,799231
2000-02-09,5.399568,5.429566,5.264579,5.279578,3.290932,1655132
2000-02-10,5.309575,5.384569,5.249580,5.309575,3.309631,1617213
2000-02-11,5.309575,5.309575,5.159587,5.249580,3.272233,2531036
2000-02-14,5.249580,5.249580,5.054596,5.234581,3.262884,1425947
2000-02-15,5.219582,5.369570,5.189585,5.324574,3.318979,2171424
2000-02-16,5.309575,5.384569,5.279578,5.384569,3.356377,1539707
2000-02-17,5.369570,5.414567,5.219582,5.279578,3.290932,452120
2000-02-18,5.279578,5.279578,5.159587,5.189585,3.234839,601715
2000-02-22,5.204584,5.369570,5.174586,5.369570,3.347027,969244
2000-02-23,5.384569,5.399568,5.279578,5.339573,3.328328,497957
2000-02-24,5.309575,5.309575,5.114591,5.159587,3.216141,1148009
2000-02-25,5.099592,5.249580,5.099592,5.174586,3.225487,564629
2000-02-28,5.219582,5.279578,5.159587,5.219582,3.253535,542127
2000-02-29,5.219582,5.324574,5.159587,5.309575,3.309631,442119
2000-03-01,5.324574,5.324574,5.159587,5.234581,3.262884,636718
2000-03-02,5.219582,5.279578,5.084593,5.099592,3.178743,749643
2000-03-03,5.129590,5.279578,5.129590,5.219582,3.253535,825899
2000-03-06,5.219582,5.219582,5.039597,5.054596,3.150693,591297
2000-03-07,5.054596,5.069594,4.859611,4.994600,3.113296,1293437
2000-03-08,4.934605,5.039597,4.889609,5.024598,3.131995,1196762
2000-03-09,5.024598,5.024598,4.874610,4.994600,3.113296,828816
2000-03-10,4.979602,4.979602,4.769618,4.769618,2.973058,1181761
2000-03-13,4.784617,4.919606,4.754620,4.859611,3.029155,1251767
2000-03-14,4.889609,4.889609,4.769618,4.769618,2.973058,439619
2000-03-15,4.769618,4.919606,4.739621,4.859611,3.029155,1107172
2000-03-16,4.889609,5.609551,4.889609,5.369570,3.347027,1385944
2000-03-17,5.399568,5.579554,5.339573,5.339573,3.328328,1312188
2000-03-20,5.399568,5.444564,5.354572,5.369570,3.347027,717557
2000-03-21,5.369570,5.534557,5.339573,5.459563,3.403124,761728
2000-03-22,5.444564,5.549556,5.444564,5.519558,3.440521,655469
2000-03-23,5.504560,5.744540,5.489561,5.549556,3.459219,1047584
2000-03-24,5.519558,5.594552,5.429566,5.504560,3.431171,1230515
2000-03-27,5.489561,5.519558,5.384569,5.399568,3.365726,409199
2000-03-28,5.279578,5.294576,5.054596,5.084593,3.169393,1655132
2000-03-29,5.099592,5.174586,5.009599,5.144588,3.206788,1303854
2000-03-30,5.144588,5.399568,5.144588,5.249580,3.272233,803814
2000-03-31,5.264579,5.684545,5.264579,5.684545,3.543363,1262184
2000-04-03,5.654548,5.699544,5.339573,5.429566,3.384426,970494
2000-04-04,5.459563,5.714543,5.459563,5.504560,3.431171,993413
2000-04-05,5.489561,5.594552,5.489561,5.534557,3.449870,702140
2000-04-06,5.519558,5.669546,5.444564,5.444564,3.393773,675887
2000-04-07,5.444564,5.519558,5.324574,5.354572,3.337679,817565
2000-04-10,5.444564,5.624550,5.369570,5.369570,3.347027,876320
2000-04-11,5.369570,5.549556,5.369570,5.549556,3.459219,592964
2000-04-12,5.549556,5.579554,5.489561,5.519558,3.467511,581713
2000-04-13,5.549556,5.624550,5.519558,5.534557,3.476935,824233
2000-04-14,5.549556,5.549556,5.234581,5.309575,3.335594,851735
2000-04-17,5.324574,5.414567,5.279578,5.339573,3.354439,867569
2000-04-18,5.309575,5.459563,5.249580,5.459563,3.429821,913823
2000-04-19,5.399568,5.429566,5.264579,5.309575,3.335594,594631
2000-04-20,5.324574,5.354572,5.189585,5.294576,3.326170,446286
2000-04-24,5.279578,5.279578,5.219582,5.219582,3.279058,238352
2000-04-25,5.264579,5.489561,5.204584,5.489561,3.448665,587130
2000-04-26,5.459563,5.504560,5.219582,5.219582,3.279058,688805
2000-04-27,5.234581,5.369570,5.204584,5.369570,3.373285,516291
2000-04-28,5.354572,5.354572,5.264579,5.339573,3.354439,309191
2000-05-01,5.339573,5.339573,5.174586,5.324574,3.345017,409199
2000-05-02,5.324574,5.369570,5.189585,5.204584,3.269637,407533
2000-05-03,5.219582,5.234581,5.159587,5.174586,3.250791,517958
2000-05-04,5.234581,5.309575,5.189585,5.279578,3.316749,437118
2000-05-05,5.264579,5.399568,5.264579,5.324574,3.345017,652969
2000-05-08,5.339573,5.564555,5.339573,5.384569,3.382708,545877
2000-05-09,5.354572,5.489561,5.279578,5.324574,3.345017,428368
2000-05-10,5.309575,5.369570,5.264579,5.264579,3.307327,202933
2000-05-11,5.264579,5.489561,5.264579,5.399568,3.392129,710890
2000-05-12,5.399568,5.414567,5.339573,5.354572,3.363863,403782
2000-05-15,5.384569,5.504560,5.354572,5.474562,3.439244,410866
2000-05-16,5.489561,5.729542,5.474562,5.654548,3.552316,587130
2000-05-17,5.669546,5.669546,5.564555,5.594552,3.514625,585464
2000-05-18,5.639549,5.744540,5.594552,5.594552,3.514625,582963
2000-05-19,5.579554,5.594552,5.512059,5.534557,3.476935,235852
2000-05-22,5.519558,5.519558,5.369570,5.459563,3.429821,502124
2000-05-23,5.489561,5.489561,5.339573,5.369570,3.373285,360446
2000-05-24,5.339573,5.489561,5.339573,5.459563,3.429821,398782
2000-05-25,5.459563,5.474562,5.339573,5.339573,3.354439,462537
2000-05-26,5.339573,5.339573,5.249580,5.264579,3.307327,467121
2000-05-30,5.279578,5.474562,5.234581,5.474562,3.439244,428368
2000-05-31,5.429566,5.429566,5.279578,5.294576,3.326170,578380
2000-06-01,5.294576,5.414567,5.294576,5.399568,3.392129,427118
2000-06-02,5.399568,5.519558,5.399568,5.459563,3.429821,623383
2000-06-05,5.489561,5.489561,5.279578,5.294576,3.326170,719224
2000-06-06,5.294576,5.429566,5.249580,5.264579,3.307327,393782
2000-06-07,5.249580,5.249580,5.099592,5.144588,3.231946,917990
2000-06-08,5.129590,5.174586,4.784617,4.829614,3.034072,1015498
2000-06-09,4.769618,4.934605,4.649628,4.934605,3.100030,1475951
2000-06-12,4.934605,4.934605,4.784617,4.874610,3.062340,506707
2000-06-13,4.889609,4.889609,4.709623,4.814615,3.024650,603798
2000-06-14,4.784617,4.874610,4.709623,4.739621,2.977537,939242
2000-06-15,4.769618,4.784617,4.634629,4.649628,2.921002,967994
2000-06-16,4.649628,4.664627,4.454644,4.499640,2.826775,1657216
2000-06-19,4.514639,4.559635,4.439645,4.484641,2.817353,872153
2000-06-20,4.484641,4.574634,4.454644,4.529638,2.845620,1175511
2000-06-21,4.544636,4.589633,4.499640,4.514639,2.836199,916740
2000-06-22,4.514639,4.559635,4.439645,4.484641,2.817353,972995
2000-06-23,4.484641,4.574634,4.484641,4.574634,2.873888,773812
2000-06-26,4.559635,4.739621,4.439645,4.634629,2.911578,1227182
2000-06-27,4.544636,4.649628,4.529638,4.544636,2.855043,1373860
2000-06-28,4.544636,4.664627,4.529638,4.604632,2.892734,1044667
2000-06-29,4.574634,4.604632,4.454644,4.529638,2.845620,1397195
2000-06-30,4.529638,4.589633,4.435895,4.439645,2.789086,1323023
2000-07-03,4.469642,4.589633,4.439645,4.589633,2.883311,341694
2000-07-05,4.619630,4.664627,4.499640,4.514639,2.836199,874653
2000-07-06,4.544636,4.574634,4.484641,4.514639,2.836199,1120923
2000-07-07,4.514639,4.589633,4.484641,4.484641,2.817353,746726
2000-07-10,4.484641,4.559635,4.484641,4.529638,2.845620,549211
2000-07-11,4.499640,4.529638,4.469642,4.529638,2.845620,741309
2000-07-12,4.484641,4.529638,4.469642,4.529638,2.873019,563378
2000-07-13,4.529638,4.619630,4.514639,4.574634,2.901559,741726
2000-07-14,4.664627,4.664627,4.514639,4.574634,2.901559,744643
2000-07-17,4.589633,4.679626,4.589633,4.634629,2.939612,615883
2000-07-18,4.574634,4.649628,4.529638,4.589633,2.911072,573379
2000-07-19,4.574634,4.619630,4.514639,4.529638,2.873019,922157
2000-07-20,4.529638,4.574634,4.529638,4.574634,2.901559,560878
2000-07-21,4.559635,4.634629,4.529638,4.529638,2.873019,310442
2000-07-24,4.514639,4.544636,4.499640,4.514639,2.863506,731309
2000-07-25,4.499640,4.514639,4.454644,4.469642,2.834965,492956
2000-07-26,4.454644,4.454644,4.379650,4.409647,2.796911,1525539
2000-07-27,4.409647,4.544636,4.409647,4.499640,2.853992,714224
2000-07-28,4.499640,4.544636,4.454644,4.499640,2.853992,635051
2000-07-31,4.499640,4.664627,4.499640,4.619630,2.930100,519625
2000-08-01,4.649628,4.694624,4.469642,4.544636,2.882532,332943
2000-08-02,4.544636,4.604632,4.514639,4.529638,2.873019,804231
2000-08-03,4.559635,4.589633,4.544636,4.544636,2.882532,400032
2000-08-04,4.589633,4.589633,4.514639,4.514639,2.863506,900072
2000-08-07,4.514639,4.649628,4.514639,4.604632,2.920586,857985
2000-08-08,4.649628,4.649628,4.559635,4.589633,2.911072,704223
2000-08-09,4.589633,4.589633,4.499640,4.514639,2.863506,1100088
2000-08-10,4.499640,4.514639,4.439645,4.499640,2.853992,402532
2000-08-11,4.469642,4.619630,4.469642,4.619630,2.930100,827566
2000-08-14,4.574634,4.589633,4.484641,4.529638,2.873019,331693
2000-08-15,4.514639,4.514639,4.409647,4.469642,2.834965,648802
2000-08-16,4.469642,4.484641,4.424646,4.439645,2.815940,343778
2000-08-17,4.409647,4.499640,4.364651,4.484641,2.844479,599215
2000-08-18,4.484641,4.589633,4.484641,4.589633,2.911072,804648
2000-08-21,4.589633,4.589633,4.439645,4.469642,2.834965,542543
2000-08-22,4.499640,4.604632,4.499640,4.559635,2.892044,879237
2000-08-23,4.574634,4.619630,4.559635,4.574634,2.901559,976745
2000-08-24,4.529638,4.724622,4.529638,4.574634,2.901559,1045084
2000-08-25,4.604632,4.679626,4.604632,4.604632,2.920586,481705
2000-08-28,4.649628,4.739621,4.574634,4.589633,2.911072,909656
2000-08-29,4.619630,4.799616,4.619630,4.784617,3.034745,724225
2000-08-30,4.754620,4.769618,4.634629,4.634629,2.939612,430034
2000-08-31,4.604632,4.754620,4.589633,4.649628,2.949126,556711
2000-09-01,4.739621,4.754620,4.604632,4.679626,2.968154,435868
2000-09-05,5.129590,5.249580,4.979602,4.987101,3.163176,3051077
2000-09-06,5.129590,5.489561,5.114591,5.257079,3.334413,2547287
2000-09-07,5.294576,5.294576,5.129590,5.197084,3.296361,1370110
2000-09-08,5.234581,5.294576,5.219582,5.242081,3.324902,810482
2000-09-11,5.264579,5.609551,5.249580,5.534557,3.510411,1356775
2000-09-12,5.594552,5.669546,5.384569,5.414567,3.434303,1072169
2000-09-13,5.399568,5.474562,5.369570,5.369570,3.405764,635051
2000-09-14,5.384569,5.519558,5.339573,5.369570,3.405764,650469
2000-09-15,5.384569,5.429566,5.369570,5.384569,3.415279,1360526
2000-09-18,5.384569,5.474562,5.384569,5.384569,3.415279,809231
2000-09-19,5.414567,5.444564,5.384569,5.414567,3.434303,707973
2000-09-20,5.399568,5.414567,5.399568,5.414567,3.434303,427951
2000-09-21,5.414567,5.429566,5.399568,5.399568,3.424791,266688
2000-09-22,5.414567,5.459563,5.399568,5.414567,3.434303,1128007
2000-09-25,5.414567,5.429566,5.399568,5.429566,3.443819,302524
2000-09-26,5.429566,5.594552,5.429566,5.519558,3.500898,1674717
2000-09-27,5.519558,5.579554,5.519558,5.519558,3.500898,566712
2000-09-28,5.534557,5.594552,5.519558,5.579554,3.538950,1097171
2000-09-29,5.549556,5.654548,5.534557,5.609551,3.557977,775479
2000-10-02,5.624550,5.624550,5.519558,5.549556,3.519923,331277
2000-10-03,5.534557,5.834533,5.534557,5.759539,3.653110,654636
2000-10-04,5.759539,5.954524,5.759539,5.939525,3.767271,585047
2000-10-05,5.939525,5.939525,5.654548,5.699544,3.615057,816732
2000-10-06,5.669546,5.789537,5.534557,5.579554,3.538950,665470
2000-10-09,5.624550,5.744540,5.549556,5.744540,3.643596,471288
2000-10-10,5.744540,5.759539,5.579554,5.609551,3.557977,463787
2000-10-11,5.534557,5.594552,5.489561,5.579554,3.566413,661720
2000-10-12,5.669546,5.729542,5.549556,5.699544,3.643112,1000080
2000-10-13,5.714543,5.729542,5.579554,5.729542,3.662284,687555
2000-10-16,5.609551,5.759539,5.594552,5.699544,3.643112,617549
2000-10-17,5.699544,5.744540,5.504560,5.504560,3.518476,1626797
2000-10-18,5.519558,5.579554,5.504560,5.504560,3.518476,1587627
2000-10-19,5.519558,5.564555,5.519558,5.564555,3.556828,650052
2000-10-20,5.564555,5.564555,5.504560,5.519558,3.528065,1246350
2000-10-23,5.504560,5.774538,5.504560,5.744540,3.671872,437952
2000-10-24,5.744540,5.789537,5.654548,5.714543,3.652699,595048
2000-10-25,5.684545,5.684545,5.384569,5.414567,3.460954,634634
2000-10-26,5.399568,5.744540,5.354572,5.744540,3.671872,772979
2000-10-27,5.759539,5.759539,5.564555,5.594552,3.576002,852568
2000-10-30,5.564555,5.759539,5.564555,5.729542,3.662284,847985
2000-10-31,5.729542,5.879530,5.669546,5.774538,3.691048,1625547
2000-11-01,5.654548,5.924526,5.654548,5.879530,3.758158,608382
2000-11-02,5.879530,5.879530,5.729542,5.804536,3.710222,712557
2000-11-03,5.774538,5.819534,5.744540,5.774538,3.691048,695056
2000-11-06,5.804536,5.849532,5.699544,5.759539,3.681459,468371
2000-11-07,5.759539,5.759539,5.564555,5.669546,3.623937,547544
2000-11-08,5.654548,5.759539,5.594552,5.714543,3.652699,408783
2000-11-09,5.699544,5.729542,5.459563,5.669546,3.623937,624633
2000-11-10,5.654548,5.699544,5.489561,5.519558,3.528065,391281
2000-11-13,5.459563,5.489561,5.429566,5.489561,3.508891,521292
2000-11-14,5.534557,5.609551,5.489561,5.519558,3.528065,320859
2000-11-15,5.519558,5.864531,5.504560,5.864531,3.748570,599631
2000-11-16,5.834533,5.984521,5.834533,5.894528,3.767744,922991
2000-11-17,5.939525,6.104512,5.909527,5.909527,3.777330,655469
2000-11-20,5.879530,5.909527,5.879530,5.909527,3.777330,316692
2000-11-21,5.909527,6.059515,5.849532,6.014519,3.844442,689639
2000-11-22,5.999520,6.104512,5.939525,6.029518,3.854030,773812
2000-11-24,6.029518,6.164507,6.014519,6.164507,3.940313,172514
2000-11-27,6.134509,6.239501,6.059515,6.089513,3.892379,435035
2000-11-28,6.089513,6.194504,5.879530,5.894528,3.767744,615466
2000-11-29,5.924526,6.089513,5.924526,6.089513,3.892379,393365
2000-11-30,6.059515,6.119510,5.879530,5.954524,3.806092,515458
2000-12-01,5.969522,6.164507,5.969522,6.149508,3.930724,374197
2000-12-04,6.179506,6.224502,6.089513,6.179506,3.949902,358362
2000-12-05,6.179506,6.329494,6.179506,6.224502,3.978660,428784
2000-12-06,6.224502,6.254500,6.059515,6.089513,3.892379,246686
2000-12-07,6.059515,6.179506,6.044516,6.074514,3.882790,192099
2000-12-08,6.044516,6.209503,6.044516,6.209503,3.969074,325026
2000-12-11,6.209503,6.389489,6.119510,6.389489,4.084121,430868
2000-12-12,6.329494,6.344492,6.044516,6.059515,3.873203,498790
2000-12-13,6.029518,6.029518,5.894528,5.924526,3.786918,435452
2000-12-14,5.879530,5.999520,5.864531,5.939525,3.796506,306691
2000-12-15,5.819534,5.879530,5.549556,5.549556,3.547239,922157
2000-12-18,5.549556,5.729542,5.534557,5.729542,3.662284,490456
2000-12-19,5.699544,5.774538,5.684545,5.729542,3.662284,447119
2000-12-20,5.729542,5.729542,5.534557,5.534557,3.537653,505457
