Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,25.600000,25.910000,25.559999,25.900000,20.823784,345300
2020-08-21,25.940001,26.139999,25.907000,26.129999,21.008701,474300
2020-08-24,26.180000,26.230000,26.090000,26.170000,21.040861,421300
2020-08-25,26.150000,26.290001,26.010000,26.290001,21.137342,671000
2020-08-26,26.290001,26.379999,26.139999,26.260000,21.113226,634100
2020-08-27,26.240000,26.280001,26.070000,26.190001,21.056946,394200
2020-08-28,26.200001,26.200001,26.049999,26.110001,20.992626,312800
2020-08-31,26.110001,26.240000,25.980000,26.180000,21.048904,2089700
2020-09-01,26.160000,26.240000,26.090000,26.219999,21.081066,90700
2020-09-02,26.219999,26.420000,26.180000,26.370001,21.201666,152200
2020-09-03,26.370001,26.370001,25.950001,26.070000,20.960464,113100
2020-09-04,26.080000,26.131001,25.680000,25.940001,20.855947,152900
2020-09-08,25.770000,25.910000,25.650000,25.820000,20.759464,85900
2020-09-09,25.889999,26.100000,25.889999,26.070000,20.960464,82900
2020-09-10,26.110001,26.190001,26.049999,26.080000,20.968504,113800
2020-09-11,26.040001,26.129999,26.040001,26.100000,20.984585,56800
2020-09-14,26.139999,26.280001,26.110001,26.139999,21.016745,88200
2020-09-15,26.190001,26.290001,26.150000,26.150000,21.024784,90100
2020-09-16,26.120001,26.230000,26.110001,26.110001,20.992626,80600
2020-09-17,26.080000,26.080000,25.950001,25.990000,20.896147,78000
2020-09-18,26.000000,26.065001,25.910000,26.020000,20.920263,34700
2020-09-21,25.799999,26.000000,25.730000,25.940001,20.855947,63800
2020-09-22,26.049999,26.110001,26.010000,26.059999,20.952425,103700
2020-09-23,26.150000,26.150000,25.770000,25.940001,20.855947,104200
2020-09-24,25.889999,26.059999,25.830000,26.020000,20.920263,92400
2020-09-25,26.059999,26.139999,26.020000,26.120001,21.000664,150100
2020-09-28,26.139999,26.200001,26.110001,26.160000,21.032824,177900
2020-09-29,26.209999,26.209999,26.180000,26.180000,21.048904,142300
2020-09-30,26.240000,26.240000,26.100000,26.180000,21.048904,256500
2020-10-01,26.240000,26.250000,26.150000,26.160000,21.032824,171100
2020-10-02,26.100000,26.200001,25.889999,26.160000,21.032824,86000
2020-10-05,26.209999,26.320000,26.110001,26.190001,21.056946,223000
2020-10-06,26.209999,26.260000,26.159000,26.200001,21.064983,451800
2020-10-07,26.299999,26.299999,26.200001,26.260000,21.113226,243000
2020-10-08,26.280001,26.320000,26.160000,26.240000,21.097143,201300
2020-10-09,26.290001,26.370001,26.200001,26.370001,21.201666,41100
2020-10-12,26.350000,26.500000,26.209999,26.469999,21.282066,52300
2020-10-13,26.490000,26.650000,26.270000,26.320000,21.161467,146200
2020-10-14,26.400000,26.400000,26.260000,26.340000,21.177547,62900
2020-10-15,26.340000,26.350000,26.260000,26.330000,21.169506,34600
2020-10-16,26.330000,26.440001,26.309999,26.360001,21.193626,33100
2020-10-19,26.420000,26.420000,26.240000,26.400000,21.225786,38300
2020-10-20,26.379999,26.430000,26.219999,26.330000,21.169506,369900
2020-10-21,26.350000,26.500000,26.320000,26.330000,21.169506,281900
2020-10-22,26.400000,26.620001,26.209999,26.510000,21.314224,77200
2020-10-23,26.480000,26.820000,26.469000,26.780001,21.531307,48300
2020-10-26,26.629999,26.889999,26.600000,26.709999,21.475031,95900
2020-10-27,26.709999,26.920000,26.690001,26.730000,21.491108,48300
2020-10-28,26.629999,26.639999,26.200001,26.250000,21.105183,74000
2020-10-29,26.270000,26.440001,26.180000,26.180000,21.048904,17900
2020-10-30,26.280001,26.430000,26.200001,26.290001,21.137342,37600
2020-11-02,26.440001,26.620001,26.400000,26.410000,21.233824,15000
2020-11-03,26.570000,26.660000,26.299999,26.299999,21.145386,19500
2020-11-04,26.320000,26.870001,26.320000,26.770000,21.523268,54700
2020-11-05,26.799999,26.840000,26.680000,26.700001,21.466990,60400
2020-11-06,26.709999,26.740999,26.570000,26.570000,21.362469,33900
2020-11-09,26.799999,26.840000,26.650000,26.740000,21.499147,74600
2020-11-10,26.700001,26.809999,26.559999,26.600000,21.386591,42100
2020-11-11,26.770000,26.790001,26.674999,26.760000,21.515228,30100
2020-11-12,26.790001,26.840000,26.700001,26.750000,21.507187,44600
2020-11-13,26.820000,26.840000,26.770000,26.770000,21.523268,25700
2020-11-16,26.820000,27.000000,26.709999,26.840000,21.579548,63700
2020-11-17,26.930000,27.020000,26.870001,27.020000,21.724272,113200
2020-11-18,27.030001,27.100000,26.951000,27.040001,21.740351,54600
2020-11-19,27.000000,27.090000,26.975000,27.020000,21.724272,33800
2020-11-20,27.030001,27.100000,26.959999,27.100000,21.788589,27900
2020-11-23,27.129999,27.360001,27.010000,27.160000,21.836830,79600
2020-11-24,27.160000,27.450001,27.049999,27.400000,22.029793,69300
2020-11-25,27.540001,27.670000,27.250000,27.320000,21.965473,62100
2020-11-27,27.180000,27.250000,26.730000,26.920000,21.643869,45000
2020-11-30,26.889999,26.889999,26.280001,26.549999,21.346386,180200
2020-12-01,26.680000,26.809999,26.650000,26.719999,21.483068,164400
2020-12-02,26.740000,26.750000,26.540001,26.570000,21.362469,104100
2020-12-03,26.629999,26.650000,26.500000,26.559999,21.354425,71500
2020-12-04,26.570000,26.570000,26.459999,26.490000,21.298147,55400
2020-12-07,26.520000,26.549999,26.459999,26.510000,21.314224,59600
2020-12-08,26.540001,26.690001,26.540001,26.690001,21.458950,87800
2020-12-09,26.690001,26.879999,26.639999,26.870001,21.603670,147700
2020-12-10,26.830000,26.980000,26.639999,26.900000,21.627787,49200
2020-12-11,26.889999,26.889999,26.709999,26.799999,21.547386,39300
2020-12-14,26.889999,26.959999,26.850000,26.910000,21.635830,25600
2020-12-15,26.940001,27.070999,26.910000,27.049999,21.748394,43900
2020-12-16,27.100000,27.100000,26.860001,26.950001,21.667990,40300
2020-12-17,27.100000,27.150000,27.030001,27.100000,21.788589,30200
2020-12-18,27.200001,27.230000,27.070000,27.230000,21.893112,31700
2020-12-21,27.190001,27.379999,27.132000,27.299999,21.949394,34800
2020-12-22,27.350000,27.350000,26.840000,26.920000,21.643869,46000
2020-12-23,27.040001,27.139999,26.740000,26.980000,21.692114,39900
2020-12-24,26.910000,27.073000,26.820000,26.889999,21.619749,19700
2020-12-28,27.000000,27.049999,26.750000,26.920000,21.643869,37200
2020-12-29,26.889999,26.889999,26.670000,26.770000,21.523268,24500
2020-12-30,26.850000,26.850000,26.260000,26.480000,21.290108,83300
2020-12-31,26.540001,26.629999,26.350000,26.549999,21.346386,330100
2021-01-04,26.590000,26.629999,26.320000,26.430000,21.249907,91300
2021-01-05,26.430000,26.690001,26.420000,26.690001,21.458950,44500
2021-01-06,26.639999,26.639999,25.990000,26.290001,21.137342,129200
2021-01-07,26.299999,26.379999,26.100000,26.160000,21.032824,202300
2021-01-08,26.209999,26.280001,25.910000,26.080000,20.968504,200500
2021-01-11,26.040001,26.120001,25.900000,26.020000,20.920263,148500
