Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.887517,1.887517,1.739369,1.783265,1.226067,559280
2000-01-04,1.854595,1.854595,1.711934,1.728395,1.188342,1511536
2000-01-05,1.711934,1.711934,1.651578,1.700960,1.169479,568392
2000-01-06,1.733882,1.799726,1.700960,1.799726,1.237384,611677
2000-01-07,1.733882,1.783265,1.733882,1.772291,1.218522,1888566
2000-01-10,1.755830,1.788752,1.744856,1.755830,1.207205,389559
2000-01-11,1.750343,1.799726,1.722908,1.728395,1.188342,436261
2000-01-12,1.766804,1.766804,1.662551,1.722908,1.184569,431705
2000-01-13,1.684499,1.733882,1.668038,1.711934,1.177024,749503
2000-01-14,1.700960,1.744856,1.679012,1.679012,1.154389,576366
2000-01-18,1.679012,1.731139,1.679012,1.706447,1.173252,488658
2000-01-19,1.733882,1.766804,1.695473,1.722908,1.184569,592313
2000-01-20,1.722908,1.722908,1.602195,1.629630,1.120437,850880
2000-01-21,1.657064,1.668038,1.580247,1.591221,1.094029,1061606
2000-01-24,1.613169,1.635117,1.569273,1.624143,1.116664,410063
2000-01-25,1.624143,1.624143,1.492455,1.492455,1.026123,1307644
2000-01-26,1.508916,1.635117,1.508916,1.574760,1.082711,541055
2000-01-27,1.569273,1.635117,1.569273,1.602195,1.101574,1100334
2000-01-28,1.613169,1.624143,1.514403,1.541838,1.060076,1301948
2000-01-31,1.514403,1.530864,1.448560,1.525377,1.048759,1701759
2000-02-01,1.470508,1.514403,1.459534,1.514403,1.041213,1053633
2000-02-02,1.503429,1.536351,1.492455,1.514403,1.041213,613955
2000-02-03,1.536351,1.574760,1.497942,1.508916,1.037441,930614
2000-02-04,1.525377,1.525377,1.470508,1.492455,1.026123,452208
2000-02-07,1.536351,1.536351,1.448560,1.470508,1.011034,1142480
2000-02-08,1.448560,1.465021,1.415638,1.454047,0.999716,522830
2000-02-09,1.448560,1.448560,1.388203,1.388203,0.954445,1080970
2000-02-10,1.382716,1.399177,1.338820,1.360768,0.935584,736973
2000-02-11,1.327846,1.415638,1.327846,1.344307,0.924265,992123
2000-02-14,1.404664,1.410151,1.327846,1.338820,0.920493,2384058
2000-02-15,1.371742,1.371742,1.316872,1.316872,0.905403,3131283
2000-02-16,1.349794,1.349794,1.316872,1.316872,0.905403,825820
2000-02-17,1.349794,1.349794,1.300412,1.338820,0.920493,5768213
2000-02-18,1.333333,1.360768,1.316872,1.344307,0.924265,643570
2000-02-22,1.338820,1.470508,1.322359,1.410151,0.969536,1251830
2000-02-23,1.437586,1.443073,1.366255,1.382716,0.950673,1763269
2000-02-24,1.377229,1.399177,1.371742,1.382716,0.950673,518273
2000-02-25,1.388203,1.470508,1.377229,1.437586,0.988398,877078
2000-02-28,1.443073,1.443073,1.377229,1.410151,0.969536,882773
2000-02-29,1.426612,1.426612,1.377229,1.410151,0.969536,812152
2000-03-01,1.404664,1.410151,1.355281,1.371742,0.943128,4076705
2000-03-02,1.360768,1.404664,1.360768,1.371742,0.943128,501188
2000-03-03,1.355281,1.377229,1.316872,1.349794,0.928038,379308
2000-03-06,1.360768,1.360768,1.338820,1.349794,0.928038,420314
2000-03-07,1.316872,1.371742,1.294925,1.314129,0.903517,1382822
2000-03-08,1.311385,1.316872,1.251029,1.283951,0.882768,1076414
2000-03-09,1.294925,1.316872,1.251029,1.294925,0.890313,1405603
2000-03-10,1.338820,1.349794,1.289438,1.316872,0.905403,1828195
2000-03-13,1.289438,1.316872,1.229081,1.294925,0.890313,2131186
2000-03-14,1.327846,1.338820,1.294925,1.305898,0.897858,522830
2000-03-15,1.289438,1.327846,1.283951,1.311385,0.901631,1987664
